id;protocolo;processo;assunto;despacho;data_publicacao;coord_despacho;documento;data_extracao
5f89f175e1ea21000861be63;83-20-SP-SAO;1010.2020/0008298-4;Alvará de Aprovação de Edificação Nova (Exceto HIS/ HMP);Despacho deferido;23/04/2021;;;2023.10.09
5f89f175e1ea21000861be63;83-20-SP-SAO;1010.2020/0008298-4;Alvará de Aprovação de Edificação Nova (Exceto HIS/ HMP);Despacho deferido;30/07/2021;;;2023.10.09
5f8a0b707430dd00080cbc44;84-20-SP-SAO;1010.2020/0007943-6;Alvará de Execução de Edificação Nova (Exceto HIS/ HMP);Despacho deferido;15/02/2021;;;2023.10.09
5f8a20395fb2a300085542c6;85-20-SP-NEW;1020.2020/0016005-0;Alvará de Execução para instalação de Estação Rádio-Base;Despacho indeferido;16/04/2021;;;2023.10.09
5f8a20395fb2a300085542c6;85-20-SP-NEW;1020.2020/0016005-0;Alvará de Execução para instalação de Estação Rádio-Base;Despacho indeferido;16/04/2021;;;2023.10.09
5f8a20395fb2a300085542c6;85-20-SP-NEW;1020.2020/0016005-0;Alvará de Execução para instalação de Estação Rádio-Base;Despacho indeferido;16/04/2021;;;2023.10.09
5f8dda938d64580008aefed3;86-20-SP-NEW;1010.2020/0007987-8;Cadastro de Sistema Especial de Segurança;Despacho deferido;21/12/2020;;;2023.10.09
5f8dda938d64580008aefed3;86-20-SP-NEW;1010.2020/0007987-8;Cadastro de Sistema Especial de Segurança;Despacho deferido;18/12/2020;;;2023.10.09
5f8dedf861aa040008b27d97;90-20-SP-SAO;1010.2020/0007992-4;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);Despacho deferido;03/05/2021;;;2023.10.09
5f8deea861aa040008b27d9a;91-20-SP-SAO;1010.2020/0008247-0;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);Despacho deferido;19/04/2022;;;2023.10.09
5f8e040d2757f30008b796c7;92-20-SP-SAO;1010.2020/0008070-1;Alvará de Aprovação de Edificação Nova (Exceto HIS/ HMP);Despacho deferido;04/04/2023;;;2023.10.09
5f8e791db2506600090aa4d8;94-20-SP-SAO;1020.2020/0014282-5;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);Despacho indeferido;15/02/2021;;;2023.10.09
5f8e791db2506600090aa4d8;94-20-SP-SAO;1020.2020/0014282-5;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);Despacho indeferido;09/03/2021;;;2023.10.09
5f8e98f4a6b09300083a9e99;95-20-SP-NEW;1010.2020/0008656-4;Alvará de Execução para instalação de Estação Rádio-Base;Despacho indeferido;10/05/2022;;;2023.10.09
5f8ee4f32c684f00083f35bd;96-20-SP-SAO;1020.2020/0014313-9;Alvará de Aprovação de Edificação Nova (HIS/ HMP);Despacho indeferido;25/10/2022;;;2023.10.09
5f8f16d3b2fb1900086adfb8;98-20-SP-NEW;1020.2020/0015990-6;Alvará de Execução para instalação de Estação Rádio-Base;Despacho indeferido;24/06/2022;;;2023.10.09
5f8f3f44f9363400088958b7;99-20-SP-SAO;1010.2020/0008074-4;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);Despacho deferido;25/05/2021;;;2023.10.09
5f8f49301104830008a74d29;100-20-SP-NEW;1020.2020/0014893-9;Certificado de Acessibilidade;Despacho indeferido;07/11/2022;;;2023.10.09
5f8f4ceb5f6456000859fb0c;101-20-SP-SAO;1010.2020/0008250-0;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);Despacho deferido;15/12/2021;;;2023.10.09
5f8f83b112656c000737a729;104-20-SP-SAO;1010.2020/0008085-0;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);Despacho deferido;16/06/2021;;;2023.10.09
5f90786d855bb00008b52859;108-20-SP-SAO;1010.2020/0008546-0;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);Despacho deferido;30/08/2023;;;2023.10.09
5f90a9d596a2fb00088a52cd;110-20-SP-SAO;1020.2020/0014301-5;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);Despacho indeferido;08/06/2022;;;2023.10.09
5f918b95b112d60008e84003;111-20-SP-SAO;1010.2020/0008494-4;Alvará de Execução de Edificação Nova (Exceto HIS/ HMP);Despacho deferido;14/05/2021;;;2023.10.09
5f91b0f505bb2d000887d4a2;112-20-SP-SAO;1020.2020/0014528-0;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);Despacho deferido;30/01/2023;;;2023.10.09
5f91e5972a60220008c8b46e;113-20-SP-SAO;1010.2020/0008116-3;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);Despacho deferido;02/06/2022;;;2023.10.09
5f91f269362d060008604c24;114-20-SP-SAO;1010.2020/0008072-8;Alvará de Execução de Edificação Nova (HIS/ HMP);Despacho deferido;29/07/2021;;;2023.10.09
5f91f44d362d060008604c27;115-20-SP-SAO;1010.2020/0008086-8;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);Despacho deferido;18/03/2021;;;2023.10.09
5f92f9738f3ea70008948b5a;116-20-SP-NEW;1010.2020/0008249-6;Cadastro de Sistema Especial de Segurança;Despacho deferido;08/04/2021;;;2023.10.09
5f931a3143faed00072482fb;117-20-SP-SAO;1010.2020/0008087-6;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);Despacho indeferido;01/06/2021;;;2023.10.09
5f932c38d0d5000008bb074a;118-20-SP-SAO;1010.2020/0008299-2;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);Despacho deferido;14/12/2022;;;2023.10.09
5f932f7b928571000780df42;119-20-SP-SAO;1010.2020/0008279-8;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);Despacho indeferido;08/04/2022;;;2023.10.09
5f932f7b928571000780df42;119-20-SP-SAO;1010.2020/0008279-8;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);Despacho deferido;08/11/2022;;;2023.10.09
