id;n_processo;assunto;setor_atual;status;sistema
5f8f16d3b2fb1900086adfb8;1020.2020/0015990-6;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido e encerrado;Aprova Digital
5f8f3f44f9363400088958b7;1010.2020/0008074-4;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;Aprova Digital
5f8f49301104830008a74d29;1020.2020/0014893-9;Certificado de Acessibilidade;CONTRU;em análise;Aprova Digital
5f8f4ceb5f6456000859fb0c;1010.2020/0008250-0;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);ATECC;deferido;Aprova Digital
5f8f83b112656c000737a729;1010.2020/0008085-0;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);RESID;deferido;Aprova Digital
5f8fad79e8502e0008768bbc;1010.2020/0008190-2;Certificado de Acessibilidade;CONTRU;em análise;Aprova Digital
5f906a9c43c3640008b76e96;1020.2020/0014431-3;Alvará de Funcionamento de Local de Reunião;CONTRU;em análise;Aprova Digital
5f90786d855bb00008b52859;1010.2020/0008546-0;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;em análise;Aprova Digital
5f908232fefb3e000864524c;1010.2020/0007984-3;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;desistido;Aprova Digital
5f90a9d596a2fb00088a52cd;1020.2020/0014301-5;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;em análise;Aprova Digital
5f918b95b112d60008e84003;1010.2020/0008494-4;Alvará de Execução de Edificação Nova (Exceto HIS/ HMP);RESID;deferido;Aprova Digital
5f91b0f505bb2d000887d4a2;1020.2020/0014528-0;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);COMIN;deferido;Aprova Digital
5f91e5972a60220008c8b46e;1010.2020/0008116-3;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;Aprova Digital
5f91f269362d060008604c24;1010.2020/0008072-8;Alvará de Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;Aprova Digital
5f91f44d362d060008604c27;1010.2020/0008086-8;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;Aprova Digital
5f92f9738f3ea70008948b5a;1010.2020/0008249-6;Cadastro de Sistema Especial de Segurança;CONTRU;deferido;Aprova Digital
5f931a3143faed00072482fb;1010.2020/0008087-6;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;indeferido;Aprova Digital
5f932c38d0d5000008bb074a;1010.2020/0008299-2;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);SERVIN;deferido;Aprova Digital
5f932f7b928571000780df42;1010.2020/0008279-8;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);CAP;deferido;Aprova Digital
5f933066928571000780df45;1020.2020/0016000-9;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido e encerrado;Aprova Digital
5f933cc04e44680008ecfe6f;1020.2020/0014303-1;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;Aprova Digital
5f933f144e44680008ecfe72;1010.2020/0008186-4;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);COMIN;desistido;Aprova Digital
5f9354cdab72b200083256d1;1010.2020/0008275-5;Alvará de Execução de Edificação Nova (Exceto HIS/ HMP);COMIN;deferido;Aprova Digital
5f96cddb65c0880007ba3a66;1010.2020/0008689-0;Certificado de Acessibilidade;CONTRU;indeferido;Aprova Digital
5f96d3491db5380008457f24;1010.2020/0008620-3;Certificado de Acessibilidade;CONTRU;indeferido;Aprova Digital
5f96e4e8d4f68f0008562679;1010.2020/0008311-5;Alvará de Aprovação de Edificação Nova (HIS/ HMP);CAP;deferido;Aprova Digital
5f9711fffe40e800098e8853;1010.2020/0008248-8;Alvará de Aprovação de Edificação Nova (Exceto HIS/ HMP);RESID;indeferido;Aprova Digital
5f971d3c7a45b70008ea05e4;1020.2020/0014480-1;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido e encerrado;Aprova Digital
5f971ecb7a45b70008ea05e7;1010.2020/0008307-7;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);RESID;deferido;Aprova Digital
5f972a1450335a000855efc5;1010.2020/0008304-2;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);CAP;indeferido e encerrado;Aprova Digital
5f9737c4c6dd270008f2cbd9;1010.2020/0008637-8;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;em análise;Aprova Digital
5f973954c6dd270008f2cbdc;1010.2020/0008244-5;Alvará de Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;Aprova Digital
5f9739d2c6dd270008f2cbdf;1020.2020/0016006-8;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido e encerrado;Aprova Digital
5f9743e2834af80008599aa3;1020.2020/0016002-5;Alvará de Execução para instalação de Estação Rádio-Base;CAP;indeferido e encerrado;Aprova Digital
5f978dadf0e3270009f7bfd2;1020.2020/0014524-7;Cadastro de tanque de armazenagem, bomba, filtro de combustível e equipamentos afins;CONTRU;em análise;Aprova Digital
5f9834040663110008f8abb2;1010.2020/0008278-0;Cadastro de tanque de armazenagem, bomba, filtro de combustível e equipamentos afins;CONTRU;indeferido e encerrado;Aprova Digital
5f985c4b0170cb000844fb18;1020.2020/0016004-1;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido e encerrado;Aprova Digital
5f985e3f0170cb000844fb1b;1010.2020/0008450-2;Alvará de Execução de Edificação Nova (Exceto HIS/ HMP);RESID;deferido;Aprova Digital
5f985e750170cb000844fb1e;1020.2020/0014938-2;Certificado de Segurança;CONTRU;indeferido;Aprova Digital
5f9869da0c851c000810a85b;1010.2020/0008276-3;Alvará de Aprovação de Edificação Nova (Exceto HIS/ HMP);COMIN;indeferido;Aprova Digital
5f9873ab0b87ad00087e2839;1010.2020/0008453-7;Alvará de Execução de Edificação Nova (Exceto HIS/ HMP);RESID;deferido;Aprova Digital
5f987f6e72237b0009a86ab8;1010.2020/0008310-7;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);SERVIN;deferido;Aprova Digital
5f9882926e8bd00007761843;1010.2020/0008273-9;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);COMIN;deferido;Aprova Digital
5f9883b66e8bd00007761846;1010.2020/0008314-0;Alvará de Aprovação de Edificação Nova (Exceto HIS/ HMP);RESID;indeferido e encerrado;Aprova Digital
5f98a46a76f3680008b60947;1010.2020/0008445-6;Certificado de Acessibilidade;CONTRU;em análise;Aprova Digital
5f98b2163ed6400008321b42;1020.2020/0014937-4;Alvará de Execução de Edificação Nova (Exceto HIS/ HMP);RESID;deferido;Aprova Digital
5f98bfe0ed73690008373c64;1010.2020/0008657-2;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido;Aprova Digital
5f98c16ded73690008373c67;1010.2020/0008446-4;Certificado de Acessibilidade;CONTRU;deferido;Aprova Digital
5f9972e411924f00096a6f89;1010.2020/0008347-6;Certificado de Acessibilidade;CONTRU;em análise;Aprova Digital
5f99738d11924f00096a6f8c;1020.2020/0014494-1;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido e encerrado;Aprova Digital
5f99820c5007bf0008d2090a;1010.2020/0008315-8;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);CAP;desistido;Aprova Digital
5f99822e5007bf0008d2090d;1010.2020/0008360-3;Alvará de Aprovação de Edificação Nova (Exceto HIS/ HMP);RESID;deferido;Aprova Digital
5f9984855007bf0008d20910;1010.2020/0008654-8;Certificado de Estanqueidade;CONTRU;em análise;Aprova Digital
5f9985bd5007bf0008d20913;1010.2020/0008357-3;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);COMIN;indeferido;Aprova Digital
5f998e2bcb606e0008f8eff7;1020.2020/0014305-8;Alvará de Execução de Edificação Nova (HIS/ HMP);COMIN;desistido;Aprova Digital
5f99a98c14c8a9000966f302;1020.2020/0014308-2;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;em análise;Aprova Digital
5f99ac1e14c8a9000966f305;1010.2020/0008277-1;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;indeferido e encerrado;Aprova Digital
5f99b3954a5f2b0008dec0a1;1010.2020/0008309-3;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);RESID;deferido;Aprova Digital
