id;protocolo;n_processo;assunto;processo_vinculado
62b214868ac32f000971c367;15138-22-SP-CCE;1020.2022/0011214-8;Certificado de Conclusão;5388-21-SP-ALV
62b33ad0ebf8ed0009b4f067;15191-22-SP-CCE;1020.2022/0011420-5;Certificado de Conclusão;3149-21-SP-ALV
62b3595356e6540009647701;15207-22-SP-CCE;1020.2022/0011732-8;Certificado de Conclusão;2702-21-SP-ALV
62b37b83aedf7600090b4088;15225-22-SP-CCE;1020.2022/0011143-5;Certificado de Conclusão;4760-21-SP-ALV
62b5cf8458cb7c00099d2782;15335-22-SP-CCE;1020.2022/0011239-3;Certificado de Conclusão;3492-21-SP-ALV
62b5d9349f681200099ee4b0;15340-22-SP-CCE;1020.2022/0011527-9;Certificado de Conclusão;3659-21-SP-ALV
62b5f4a5a3c9f700095e9df0;15356-22-SP-CCE;1020.2022/0011523-6;Certificado de Conclusão;2962-21-SP-ALV
62b5fc327977c50009ee5a3d;15361-22-SP-CCE;1020.2022/0011240-7;Certificado de Conclusão;3767-21-SP-ALV
62b6208a2ae7130009bebe3e;15397-22-SP-CCE;1020.2022/0011332-2;Certificado de Conclusão;2790-21-SP-ALV
62bb299e1383be000912032a;15539-22-SP-CCE;1020.2022/0011493-0;Certificado de Conclusão;1835-21-SP-SAO
62bb4185592ac00009a86e97;15554-22-SP-CCE;1020.2022/0011441-8;Certificado de Conclusão;551-20-SP-SAO
62bb5b404148780009c01278;15577-22-SP-CCE;1020.2022/0012386-7;Certificado de Conclusão;6212-21-SP-ALV
62bc4232f5c93b00093525f1;15606-22-SP-CCE;1020.2022/0011841-3;Certificado de Conclusão;9068-21-SP-ALV
62bda0a456bf370009384dea;15701-22-SP-CCE;1020.2022/0011686-0;Certificado de Conclusão;14766-22-SP-ALV
62bdb05437b48600099f4a0c;15714-22-SP-CCE;1020.2022/0011687-9;Certificado de Conclusão;3367-21-SP-ALV
62bdc415d7446d000988dc82;15725-22-SP-CCE;1020.2022/0013074-0;Certificado de Conclusão;2130-21-SP-SAO
62c347b7b6c6150009df0789;15885-22-SP-CCE;1020.2022/0013013-8;Certificado de Conclusão;49-20-SP-SAO
62c5c0c689e7e50009f387b8;16001-22-SP-CCE;1020.2022/0012016-7;Certificado de Conclusão;1928-21-SP-NEW
62c5d175169dab0009faf4d6;16014-22-SP-CCE;1020.2022/0012019-1;Certificado de Conclusão;1259-21-SP-NEW
62c5dd5400a2ed0009d6dced;16020-22-SP-CCE;1020.2022/0012330-1;Certificado de Conclusão;144-20-SP-SAO
62c5edd7a6ad260009521270;16029-22-SP-CCE;1020.2022/0012075-2;Certificado de Conclusão;9081-21-SP-ALV
62c6d4b0037b580009b39f4a;16046-22-SP-CCE;1020.2022/0012070-1;Certificado de Conclusão;1928-21-SP-NEW
62c6eff9906266000a1ec4c7;16052-22-SP-CCE;1020.2022/0012074-4;Certificado de Conclusão;2287-21-SP-SAO
62c7487dfb67a80009254abd;16084-22-SP-CCE;1020.2022/0012076-0;Certificado de Conclusão;187-20-SP-SAO
62c74a968537c5000a49b26d;16085-22-SP-CCE;1020.2022/0012328-0;Certificado de Conclusão;1868-21-SP-SAO
62c81f05e5e971000aa190d0;16097-22-SP-CCE;1020.2022/0012481-2;Certificado de Conclusão;2623-21-SP-ALV
62c839ff3f77f700091d25b2;16105-22-SP-CCE;1020.2022/0012180-5;Certificado de Conclusão;1029-21-SP-SAO
62cc1f6fbfa04600095cd295;16190-22-SP-CCE;1020.2022/0012597-5;Certificado de Conclusão;4850-21-SP-ALV
62cc27713bbd3900097e241e;16195-22-SP-CCE;1020.2022/0012185-6;Certificado de Conclusão;15931-22-SP-ALV
62cc5d89ec1ff10009f5aef8;16214-22-SP-CCE;1020.2022/0012186-4;Certificado de Conclusão;113-20-SP-SAO
62cc65dc31be6f0009764669;16217-22-SP-CCE;1020.2022/0012829-0;Certificado de Conclusão;2801-21-SP-ALV
62cd7032cdcd0b0009b620ee;16256-22-SP-CCE;1020.2022/0012508-8;Certificado de Conclusão;834-20-SP-SAO
62cd7058cdcd0b0009b62110;16257-22-SP-CCE;1020.2022/0012505-3;Certificado de Conclusão;2810-21-SP-ALV
62cd75a869ed4f000979798f;16258-22-SP-CCE;1020.2022/0012756-0;Certificado de Conclusão;7489-21-SP-ALV
62ceee588d465300095586c1;16352-22-SP-CCE;1020.2022/0012514-2;Certificado de Conclusão;10262-22-SP-ALV
62d0002063dcb1000916d70f;16406-22-SP-CCE;1020.2022/0012838-9;Certificado de Conclusão;3498-21-SP-ALV
62d067f68156810009ab33b6;16452-22-SP-CCE;1020.2022/0012914-8;Certificado de Conclusão;11471-22-SP-ALV
62d070456173ed0009de3cc6;16455-22-SP-CCE;1020.2022/0013009-0;Certificado de Conclusão;7564-21-SP-ALV
62d1606872d72c00090baa65;16481-22-SP-CCE;1020.2022/0013011-1;Certificado de Conclusão;883-20-SP-SAO
62d184e20dbded000931e624;16491-22-SP-CCE;1020.2022/0012921-0;Certificado de Conclusão;3928-21-SP-ALV
62d1b5594afe980009074e46;16515-22-SP-CCE;1020.2022/0013020-0;Certificado de Conclusão;999-21-SP-SAO
62d5689b8231ca00099d04e7;16567-22-SP-CCE;1020.2022/0013222-0;Certificado de Conclusão;3612-21-SP-ALV
62d56fff0a507c00090e392c;16571-22-SP-CCE;1020.2022/0013016-2;Certificado de Conclusão;6965-21-SP-ALV
62d59f5ad85e610009a9e510;16587-22-SP-CCE;1020.2022/0013111-8;Certificado de Conclusão;53-20-SP-SAO
62d5b84b0eb6d30009d7b78d;16603-22-SP-CCE;1020.2022/0013109-6;Certificado de Conclusão;13380-22-SP-ALV
62d69d8806e7cc0009944e2c;16620-22-SP-CCE;1020.2022/0013115-0;Certificado de Conclusão;2252-21-SP-SAO
62d6aa5dc63ec6000908785d;16627-22-SP-CCE;1020.2022/0012845-1;Certificado de Conclusão;803-20-SP-SAO
62d703b279943f00099fda85;16671-22-SP-CCE;1020.2022/0013203-3;Certificado de Conclusão;104-20-SP-SAO
62d7ddf766c06a00091d6faa;16688-22-SP-CCE;1020.2022/0013172-0;Certificado de Conclusão;4258-21-SP-ALV
62d7fedd82153f00090eb1f2;16692-22-SP-CCE;1020.2022/0013198-3;Certificado de Conclusão;4061-21-SP-ALV
62d843abdc94790009e49a93;16719-22-SP-CCE;1020.2022/0012937-7;Certificado de Conclusão;1377-21-SP-SAO
62d85dfed1aa5a0009ca0939;16740-22-SP-CCE;1020.2022/0013032-4;Certificado de Conclusão;978-21-SP-SAO
62d95e880733340009f5aa86;16764-22-SP-CCE;1020.2022/0013303-0;Certificado de Conclusão;7689-21-SP-ALV
62d9a80806653f0009a7a839;16785-22-SP-CCE;1020.2022/0013072-3;Certificado de Conclusão;3594-21-SP-ALV
62daa9765274640009c30234;16810-22-SP-CCE;1020.2022/0013077-4;Certificado de Conclusão;16047-22-SP-ALV
62dabb597b30820009df4d4d;16820-22-SP-CCE;1020.2022/0013079-0;Certificado de Conclusão;1575-21-SP-SAO
62dac63bb9bda800098df58c;16827-22-SP-CCE;1020.2022/0013132-0;Certificado de Conclusão;4016-21-SP-ALV
62defb90d16fb600095dcc11;16929-22-SP-CCE;1020.2022/0013311-0;Certificado de Conclusão;12547-22-SP-ALV
62e02cbe86d6e20009477b60;16979-22-SP-CCE;1020.2022/0013316-1;Certificado de Conclusão;11226-22-SP-ALV
62e0454771a041000951acb3;16987-22-SP-CCE;1020.2022/0013365-0;Certificado de Conclusão;1227-21-SP-SAO
62e05e1036df3400099c3389;17004-22-SP-CCE;1020.2022/0013645-4;Certificado de Conclusão;101-20-SP-SAO
62e134b6cbe4df0009a5cea9;17015-22-SP-CCE;1020.2022/0013657-8;Certificado de Conclusão;3037-21-SP-ALV
62e29c010db5a20009363348;17097-22-SP-CCE;1020.2022/0013832-5;Certificado de Conclusão;1753-21-SP-SAO 
62e2baef1434c6000927ac85;17113-22-SP-CCE;1020.2022/0014029-0;Certificado de Conclusão;3990-21-SP-ALV
62e2c0c6ed5acf0009c08868;17116-22-SP-CCE;1020.2022/0013846-5;Certificado de Conclusão;5496-21-SP-ALV
62e30238d782e2000987ccbc;17160-22-SP-CCE;1020.2022/0014696-4;Certificado de Conclusão;2481-21-SP-SAO
62e3f5e6ed6adb0009f1a959;17189-22-SP-CCE;1020.2022/0013932-1;Certificado de Conclusão;2215-21-SP-SAO
62e7d122d344b100094693bb;17292-22-SP-CCE;1020.2022/0013675-6;Certificado de Conclusão;4162-21-SP-ALV
62e81918ea4a4e0009ca492b;17317-22-SP-CCE;1020.2022/0013680-2;Certificado de Conclusão;8952-21-SP-ALV
62e84d2a537aca00093193ae;17334-22-SP-CCE;1020.2022/0014034-6;Certificado de Conclusão;4104-21-SP-ALV
62e94357bf6b450009324abc;17369-22-SP-CCE;1020.2022/0013767-1;Certificado de Conclusão;2871-21-SP-ALV
62e95a6ab280240009b018a2;17374-22-SP-CCE;1020.2022/0015086-4;Certificado de Conclusão;1488-21-SP-SAO
62ea7bf531454a000997b292;17420-22-SP-CCE;1020.2022/0014106-7;Certificado de Conclusão;4425-21-SP-ALV
62ea86b8746d390009dbb41e;17429-22-SP-CCE;1020.2022/0013860-0;Certificado de Conclusão;7869-21-SP-ALV
62ea9a613240f70009ead108;17440-22-SP-CCE;1020.2022/0014116-4;Certificado de Conclusão;4927-21-SP-ALV
62ead4671825d80009970238;17477-22-SP-CCE;1020.2022/0014231-4;Certificado de Conclusão; 5191-21-SP-ALV
62ebd768ab9e29000952bf6b;17508-22-SP-CCE;1020.2022/0014228-4;Certificado de Conclusão;4025-21-SP-ALV
62ebdf3ec216dd00093304e7;17510-22-SP-CCE;1020.2022/0013953-4;Certificado de Conclusão;2627-21-SP-ALV
62ebeca0aefbd900092f9b9e;17517-22-SP-CCE;1020.2022/0014394-9;Certificado de Conclusão;3200-21-SP-ALV
62ed2662c8aaf4000922a539;17582-22-SP-CCE;1020.2022/0014041-9;Certificado de Conclusão; 352-20-SP-SAO
62ed9243bce2b300094c6b00;17637-22-SP-CCE;1020.2022/0014233-0;Certificado de Conclusão;12453-22-SP-ALV
62f11a968648ef000938c7b4;17665-22-SP-CCE;1020.2022/0014252-7;Certificado de Conclusão;4579-21-SP-ALV
62f14f5b6f2927000932da4d;17687-22-SP-CCE;1020.2022/0014237-3;Certificado de Conclusão;130-20-SP-SAO
62f280cde4d50700092bccde;17750-22-SP-CCE;1020.2022/0014303-5;Certificado de Conclusão;2233-21-SP-SAO
62f3ec34ac49e00009fdbacc;17836-22-SP-CCE;1020.2022/0014408-2;Certificado de Conclusão;911-21-SP-SAO
62f52e785ddd81000967cfd6;17912-22-SP-CCE;1020.2022/0014573-9;Certificado de Conclusão;1972-21-SP-SAO
62f53ef75691430009351f28;17925-22-SP-CCE;1020.2022/0014571-2;Certificado de Conclusão;2526-21-SP-SAO
62f64451996c8b0009db256d;17982-22-SP-CCE;1020.2022/0015060-0;Certificado de Conclusão;1782-21-SP-SAO
62f6675d0edcb200093f6cea;18008-22-SP-CCE;1020.2022/0014735-9;Certificado de Conclusão;1182-21-SP-SAO
62f6b7482d507900095d3842;18064-22-SP-CCE;1020.2022/0015689-7;Certificado de Conclusão;1741-21-SP-SAO
62fa7e72f2872700097a4290;18171-22-SP-CCE;1020.2022/0014855-0;Certificado de Conclusão;17468-22-SP-ALV
62fb94af1fc5b0000983197f;18250-22-SP-CCE;1020.2022/0014957-2;Certificado de Conclusão;4479-21-SP-ALV
62fbc24a0ab625000910c106;18287-22-SP-CCE;1020.2022/0014978-5;Certificado de Conclusão;1297-21-SP-SAO
62fc11c7a72f8800094d722b;18354-22-SP-CCE;1020.2022/0015358-8;Certificado de Conclusão;4019-21-SP-ALV
62fcee45e0afbc00098df39f;18374-22-SP-CCE;1020.2022/0015363-4;Certificado de Conclusão;6598-21-SP-ALV
62fcfe4336482d0009adc19b;18388-22-SP-CCE;1020.2022/0015357-0;Certificado de Conclusão;2160-21-SP-SAO
62fd6516c68efd00094af7f1;18449-22-SP-CCE;1020.2022/0015589-0;Certificado de Conclusão;5731-21-SP-ALV
62fea78d67439500093daba6;18554-22-SP-CCE;1020.2022/0015283-2;Certificado de Conclusão;1623-21-SP-NEW
62ff90d0519ef400098dfd4c;18576-22-SP-CCE;1020.2022/0015600-5;Certificado de Conclusão;3879-21-SP-ALV
62ffb8706892100009471e50;18590-22-SP-CCE;1020.2022/0015880-6;Certificado de Conclusão;7262-21-SP-ALV
