n_protocolo;n_processo;data_comuniquese;coord_comuniquese;data_extracao
40646/2020;1020.2020/0005907-3;25/11/2022;GTEC;2024.07.02
41188/2022;1020.2022/0015738-9;08/11/2022;GTEC;2024.07.02
41266/2020;1020.2020/0005758-5;13/01/2023;GTEC;2024.07.02
41272/2021;1020.2021/0012980-4;27/05/2024;GTEC;2024.07.02
4150/2023;1020.2020/0005905-7;06/05/2024;GTEC;2024.07.02
41520/2022;1020.2020/0005716-0;19/02/2024;GTEC;2024.07.02
41890/2021;1020.2020/0001185-2;03/03/2023;GTEC;2024.07.02
41890/2021;1020.2020/0001185-2;18/05/2023;GTEC;2024.07.02
41968/2021;1020.2021/0012662-7;17/05/2024;GTEC;2024.07.02
42232/2021;1020.2020/0005051-3;13/11/2023;GTEC;2024.07.02
42232/2021;1020.2020/0005051-3;27/10/2023;GTEC;2024.07.02
42232/2021;1020.2020/0005051-3;31/03/2023;GTEC;2024.07.02
42297/2020;1020.2020/0006184-1;21/10/2022;GTEC;2024.07.02
42306/2020;1020.2020/0005915-4;21/10/2022;GTEC;2024.07.02
42675/2020;1020.2020/0003692-8;19/01/2023;GTEC;2024.07.02
42675/2020;1020.2020/0003692-8;21/11/2022;GTEC;2024.07.02
42954/2021;1020.2021/0013354-2;05/10/2023;GTEC;2024.07.02
42954/2021;1020.2021/0013354-2;18/03/2024;GTEC;2024.07.02
42977/2023;1020.2024/0000019-0;09/04/2024;GTEC;2024.07.02
43128/2020;1020.2020/0006824-2;04/11/2022;GTEC;2024.07.02
43356/2021;1020.2020/0000121-0;12/12/2022;GTEC;2024.07.02
43395/2020;1020.2020/0006186-8;27/10/2022;GTEC;2024.07.02
43417/2021;1020.2021/0013905-2;21/03/2023;GTEC;2024.07.02
43562/2020;1020.2020/0006182-5;07/06/2023;GTEC;2024.07.02
43562/2020;1020.2020/0006182-5;14/08/2023;GTEC;2024.07.02
43562/2020;1020.2020/0006182-5;25/10/2022;GTEC;2024.07.02
43661/2020;1020.2020/0005006-8;05/10/2023;GTEC;2024.07.02
43868/2020;1020.2020/0004688-5;01/06/2023;GTEC;2024.07.02
43868/2020;1020.2020/0004688-5;23/01/2024;GTEC;2024.07.02
44424/2021;1020.2020/0002756-2;09/10/2023;GTEC;2024.07.02
44424/2021;1020.2020/0002756-2;13/07/2023;GTEC;2024.07.02
44424/2021;1020.2020/0002756-2;27/04/2023;GTEC;2024.07.02
44480/2020;1020.2020/0007341-6;01/12/2022;GTEC;2024.07.02
44859/2020;1020.2020/0007056-5;02/01/2023;GTEC;2024.07.02
44859/2020;1020.2020/0007056-5;18/11/2022;GTEC;2024.07.02
4491/2020;1020.2020/0004444-0;04/09/2023;GTEC;2024.07.02
4491/2020;1020.2020/0004444-0;13/12/2023;GTEC;2024.07.02
44969/2023;1020.2021/0015686-0;16/02/2024;GTEC;2024.07.02
44969/2023;1020.2021/0015686-0;30/04/2024;GTEC;2024.07.02
45079/2023;1020.2020/0012614-5;20/03/2024;GTEC;2024.07.02
45079/2023;1020.2020/0012614-5;27/05/2024;GTEC;2024.07.02
45097/2020;1020.2020/0009245-3;17/03/2023;GTEC;2024.07.02
4519/2022;1020.2020/0004480-7;28/02/2024;GTEC;2024.07.02
45363/2021;1020.2021/0016179-1;10/06/2024;GTEC;2024.07.02
45363/2021;1020.2021/0016179-1;15/03/2024;GTEC;2024.07.02
45577/2020;1020.2020/0006187-6;26/10/2022;GTEC;2024.07.02
45837/2020;1020.2020/0005910-3;20/10/2022;GTEC;2024.07.02
45905/2020;1020.2020/0005914-6;07/03/2024;GTEC;2024.07.02
45905/2020;1020.2020/0005914-6;08/02/2024;GTEC;2024.07.02
45908/2021;1020.2020/0000855-0;28/04/2023;GTEC;2024.07.02
45913/2021;1020.2021/0015686-0;27/07/2023;GTEC;2024.07.02
46024/2020;1020.2020/0006178-7;10/05/2023;GTEC;2024.07.02
46024/2020;1020.2020/0006178-7;10/11/2022;GTEC;2024.07.02
46024/2020;1020.2020/0006178-7;13/07/2023;GTEC;2024.07.02
46024/2020;1020.2020/0006178-7;20/12/2022;GTEC;2024.07.02
46109/2021;1020.2021/0015790-5;22/12/2023;GTEC;2024.07.02
46109/2021;1020.2021/0015790-5;28/07/2023;GTEC;2024.07.02
46355/2020;1020.2020/0005906-5;13/10/2022;GTEC;2024.07.02
46418/2020;1020.2020/0005912-0;24/10/2022;GTEC;2024.07.02
46418/2020;1020.2020/0005912-0;31/01/2023;GTEC;2024.07.02
46477/2020;1020.2020/0006181-7;26/10/2022;GTEC;2024.07.02
465/2024;1020.2021/0012313-0;01/02/2024;GTEC;2024.07.02
46548/2020;1020.2020/0006179-5;04/11/2022;GTEC;2024.07.02
46737/2022;1020.2022/0019363-6;26/05/2023;GTEC;2024.07.02
46772/2020;1020.2020/0006180-9;02/01/2023;GTEC;2024.07.02
46772/2020;1020.2020/0006180-9;03/11/2022;GTEC;2024.07.02
46772/2020;1020.2020/0006180-9;07/06/2023;GTEC;2024.07.02
46840/2020;1020.2020/0005913-8;03/01/2023;GTEC;2024.07.02
46840/2020;1020.2020/0005913-8;27/07/2023;GTEC;2024.07.02
46840/2020;1020.2020/0005913-8;31/10/2022;GTEC;2024.07.02
46862/2023;1020.2023/0024004-0;01/04/2024;GTEC;2024.07.02
46944/2022;1020.2020/0000075-3;06/12/2022;GTEC;2024.07.02
46944/2022;1020.2020/0000075-3;22/02/2023;GTEC;2024.07.02
46975/2020;1020.2020/0007336-0;30/11/2022;GTEC;2024.07.02
47141/2021;1020.2021/0016812-5;09/11/2023;GTEC;2024.07.02
47141/2021;1020.2021/0016812-5;21/07/2023;GTEC;2024.07.02
47268/2021;1020.2021/0015690-9;22/05/2024;GTEC;2024.07.02
47415/2022;1020.2022/0020919-2;15/05/2023;GTEC;2024.07.02
47415/2022;1020.2022/0020919-2;22/03/2023;GTEC;2024.07.02
47465/2022;1020.2022/0020163-9;28/03/2023;GTEC;2024.07.02
47570/2021;1020.2021/0014738-1;13/09/2023;GTEC;2024.07.02
47570/2021;1020.2021/0014738-1;23/11/2023;GTEC;2024.07.02
47617/2022;1020.2020/0002218-8;02/04/2024;GTEC;2024.07.02
47617/2022;1020.2020/0002218-8;18/07/2023;GTEC;2024.07.02
47617/2022;1020.2020/0002218-8;21/06/2024;GTEC;2024.07.02
47617/2022;1020.2020/0002218-8;31/01/2023;GTEC;2024.07.02
47621/2021;1020.2020/0000796-0;24/02/2023;GTEC;2024.07.02
47796/2020;1020.2020/0008987-8;19/06/2023;GTEC;2024.07.02
47892/2020;1020.2020/0012288-3;01/03/2023;GTEC;2024.07.02
47892/2020;1020.2020/0012288-3;10/01/2023;GTEC;2024.07.02
47920/2020;1020.2020/0004645-1;06/06/2023;GTEC;2024.07.02
47920/2020;1020.2020/0004645-1;25/04/2023;GTEC;2024.07.02
48151/2022;1020.2022/0020872-2;31/07/2023;GTEC;2024.07.02
48190/2020;1020.2020/0007453-6;22/06/2023;GTEC;2024.07.02
48340/2021;1020.2021/0017604-7;27/02/2023;GTEC;2024.07.02
48392/2020;1020.2020/0007444-7;05/12/2022;GTEC;2024.07.02
48392/2020;1020.2020/0007444-7;30/01/2023;GTEC;2024.07.02
48434/2022;1020.2021/0001830-1;27/04/2023;GTEC;2024.07.02
48660/2021;1020.2021/0015794-8;03/07/2023;GTEC;2024.07.02
48660/2021;1020.2021/0015794-8;04/01/2024;GTEC;2024.07.02
48660/2021;1020.2021/0015794-8;10/11/2023;GTEC;2024.07.02
48830/2022;1020.2021/0004917-7;05/02/2024;GTEC;2024.07.02
48830/2022;1020.2021/0004917-7;11/09/2023;GTEC;2024.07.02
48830/2022;1020.2021/0004917-7;20/12/2023;GTEC;2024.07.02
48857/2021;1020.2020/0001937-3;05/02/2024;GTEC;2024.07.02
48857/2021;1020.2020/0001937-3;05/10/2023;GTEC;2024.07.02
48857/2021;1020.2020/0001937-3;15/12/2023;GTEC;2024.07.02
48857/2021;1020.2020/0001937-3;20/04/2023;GTEC;2024.07.02
48926/2021;1020.2021/0015683-6;26/06/2024;GTEC;2024.07.02
49274/2022;1020.2022/0021886-8;02/03/2023;GTEC;2024.07.02
49274/2022;1020.2022/0021886-8;30/01/2023;GTEC;2024.07.02
49309/2021;1020.2021/0015689-5;12/04/2023;GTEC;2024.07.02
49309/2021;1020.2021/0015689-5;20/03/2023;GTEC;2024.07.02
49357/2020;1020.2020/0007337-8;25/08/2023;GTEC;2024.07.02
49357/2020;1020.2020/0007337-8;29/11/2022;GTEC;2024.07.02
