processo,sql_incra
1020.2023/0009178-9,03109500221
1020.2020/0004770-9,19901101572
1020.2021/0000616-8,05134400601
1020.2020/0005982-0,08120800321
1020.2020/0015798-9,09023500261
1020.2023/0015197-8,13320900152
1020.2021/0007638-7,08011001787
1020.2020/0002068-1,14735100368
1020.2020/0015368-1,14000600566
1020.2020/0007049-2,11331800381
1020.2021/0006336-6,17237200851
1020.2020/0005032-7,04514603082
1020.2020/0013054-1,13947500105
1020.2020/0012644-7,06633700504
1020.2020/0013460-1,05106700507
1020.2021/0003509-5,11912400463
1020.2021/0005066-3,06011202799
1020.2020/0001982-9,11825700108
1020.2020/0003584-0,17109700339
1020.2020/0003708-8,10906200317
1020.2023/0016008-0,05500200070
1020.2020/0012496-7,11840500262
1020.2021/0005432-4,11834700271
1020.2020/0001333-2,04317500167
1020.2023/0015689-9,11522900951
1020.2020/0005134-0,11637500652
1020.2020/0001260-3,05522500867
1020.2021/0009441-5,04815401391
1020.2020/0007160-0,08109500315
1020.2021/0003723-3,07021901976
1020.2021/0000664-8,07210801529
1020.2021/0003904-0,01006000380
1020.2020/0000111-3,11238500128
1020.2023/0015170-6,11151500851
1020.2023/0012691-4,10509400166
1020.2020/0015917-5,11108300366
1020.2020/0003498-4,10407803131
1020.2020/0004725-3,29903911661
1020.2020/0011314-0,23203500548
1020.2021/0002328-3,05403001913
1020.2021/0002897-8,11510000207
1020.2020/0006971-0,06009500133
1020.2020/0011238-1,07919900298
1020.2020/0003462-3,10121100374
1020.2020/0008196-6,14104901236
1020.2020/0011085-0,05421200388
1020.2023/0016806-4,11328900291
1020.2020/0004725-3,29903911201
1020.2021/0002387-9,03213600229
1020.2020/0003994-3,12733300041
1020.2021/0004186-9,11824000668
1020.2023/0017115-4,08013900185
1020.2020/0001817-2,08910200790
1020.2020/0011692-1,15602000126
1020.2020/0012201-8,04318100677
1020.2021/0003011-5,05928200633
1020.2021/0013037-3,05809300367
1020.2021/0015977-0,07515300401
1020.2021/0012564-7,07004900142
1020.2021/0017513-0,04923201452
1020.2020/0001185-2,10135400421
1020.2021/0011661-3,30308100661
1020.2021/0015865-0,16913901088
1020.2021/0015651-8,07838000531
1020.2021/0014294-0,11126600317
1020.2021/0014595-8,09518300364
1020.2021/0016081-7,14722400740
1020.2022/0004699-4,06606100119
1020.2020/0007425-0,12514000628
1020.2021/0014899-0,19904800277
1020.2021/0015442-6,15239100021
1020.2020/0000525-9,11834600323
1020.2020/0004114-0,04401100441
1020.2021/0017003-0,06324400263
1020.2020/0001268-9,18900102914
1020.2022/0001828-1,08618700584
1020.2020/0011871-1,30201100026
1020.2020/0009005-1,07601700313
1020.2023/0015434-9,09134000275
1020.2021/0003838-8,06406600258
1020.2020/0013119-0,15204000533
1020.2021/0004608-9,06308100285
1020.2020/0007958-9,06109900060
1020.2021/0006020-0,08401200067
1020.2020/0012545-9,10120600047
1020.2020/0006354-2,06916100931
1020.2020/0012755-9,13407300319
1020.2020/0005823-9,05823400063
1020.2020/0004725-3,29903911937
1020.2020/0005036-0,11268300399
1020.2023/0012423-7,19006000999
1020.2020/0000005-2,13234100135
1020.2020/0004835-7,18725200290
1020.2020/0011409-0,14919300351
1020.2020/0002777-5,09044401467
1020.2020/0005301-6,08955600178
1020.2023/0009262-9,05103900191
1020.2020/0007728-4,18901500352
1020.2023/0015749-6,15216900151
1020.2020/0006156-6,09020700091
1020.2021/0007978-5,11909600058
1020.2021/0003188-0,08513800392
1020.2021/0006443-5,11407300287
1020.2020/0008859-6,10612800503
1020.2023/0012403-2,11837000602
1020.2020/0014021-0,08913802724
1020.2021/0019032-5,06221207134
1020.2021/0001735-6,18102100639
1020.2020/0003944-7,15710900043
1020.2020/0005228-1,24003300015
1020.2021/0007301-9,10404300641
1020.2020/0011007-9,05622200830
1020.2023/0016251-1,06839700038
1020.2023/0014898-5,05305900425
1020.2023/0015893-0,08626100027
1020.2023/0014598-6,15219100253
1020.2023/0013136-5,04200700166
1020.2020/0007237-1,04206100306
1020.2020/0012424-0,01201601746
1020.2020/0002709-0,04616001782
1020.2020/0006376-3,06422000669
1020.2021/0006275-0,13810300437
1020.2020/0001619-6,04403000029
1020.2020/0005043-2,11148700055
1020.2021/0001794-1,11239200357
1020.2020/0005105-6,13110600071
1020.2020/0015417-3,08122803301
1020.2023/0015336-9,10009200133
1020.2020/0000627-1,01501100319
1020.2020/0002334-6,11238100073
1020.2023/0012010-0,01606200321
1020.2020/0008585-6,11160900255
1020.2020/0007096-4,12821700112
1020.2020/0002653-1,14501900511
1020.2021/0011843-8,05364800040
1020.2021/0012220-6,10745100995
1020.2020/0000049-4,07520400131
1020.2021/0013093-4,09310800135
1020.2021/0015030-7,07151500386
1020.2021/0017789-2,18812000168
1020.2021/0014534-6,04610700751
1020.2021/0019133-0,29904100177
1020.2021/0018624-7,13101700336
1020.2022/0006692-8,08745400164
1020.2022/0002247-5,11260600148
1020.2022/0002236-0,15925100068
1020.2020/0008641-0,12501000454
1020.2022/0004057-0,01501500023
1020.2022/0005806-2,15701500046
1020.2022/0007423-8,19007200665
1020.2022/0006730-4,10418000041
1020.2022/0007025-9,31004200266
1020.2022/0007912-4,02102800202
1020.2022/0009956-7,15922900470
1020.2022/0007310-0,26303400378
1020.2022/0008626-0,03609900067
1020.2022/0009897-8,03806905746
1020.2022/0009665-7,15211000543
1020.2022/0010461-7,02806403391
1020.2022/0006500-0,15119400190
1020.2022/0009084-5,01215600161
1020.2022/0009285-6,08529900367
1020.2022/0011719-0,01001900146
1020.2022/0011271-7,02105000312
1020.2022/0011955-0,08308400167
1020.2022/0011781-6,04116401323
1020.2022/0011552-0,11149000189
1020.2022/0012536-3,31005601371
1020.2022/0013068-5,02208900162
1020.2022/0014172-5,08512300541
1020.2022/0013988-7,08514400118
1020.2022/0014990-4,06212400059
1020.2022/0019484-5,17019601341
1020.2022/0013156-8,04928600282
1020.2022/0020541-3,12820300048
1020.2022/0012870-2,08708800261
1020.2022/0012806-0,07208600325
1020.2022/0017765-7,04204900151
1020.2022/0018142-5,08100509166
1020.2022/0019277-0,01406106526
1020.2021/0001830-1,30810101006
1020.2020/0000124-5,12205100024
1020.2020/0006134-5,03302400187
1020.2022/0013144-4,01609100530
1020.2022/0012776-5,12716800099
1020.2022/0011008-0,08502600443
1020.2022/0011693-3,14915600067
1020.2022/0015921-7,19906800169
1020.2022/0013508-3,30601100147
1020.2022/0014188-1,04009700408
1020.2020/0015793-8,29906105494
1020.2020/0015793-8,29906106342
1020.2022/0014355-8,29903300334
1020.2022/0010645-8,08012600714
1020.2022/0016307-9,18403702141
1020.2022/0016190-4,08304300419
1020.2022/0015853-9,02203100168
1020.2022/0015858-0,04723800638
1020.2022/0017839-4,02102600051
1020.2022/0019985-5,01304107256
1020.2022/0018534-0,10202100439
1020.2022/0015037-6,01303300362
1020.2022/0021118-9,02307000811
1020.2022/0020904-4,01407500732
1020.2021/0002880-3,11606903704
1020.2022/0024400-1,07619200258
1020.2022/0019754-2,02006606050
1020.2022/0019745-3,17222301150
1020.2020/0008240-7,11820500720
1020.2022/0020712-2,10904500194
1020.2022/0022060-9,17807200056
1020.2022/0023546-0,08566100476
1020.2022/0023614-9,02104400279
1020.2020/0002581-0,15413500679
1020.2023/0000898-9,07438200116
1020.2023/0001382-6,11408700041
1020.2023/0000483-5,08135200382
1020.2023/0000189-5,06708200112
1020.2023/0003267-7,01302600273
1020.2023/0003031-3,07008200250
1020.2023/0002407-0,05806700038
1020.2023/0003778-4,08109700446
1020.2023/0004766-6,30308200850
1020.2023/0004014-9,02101900033
1020.2023/0001834-8,08514400576
1020.2023/0005256-2,00909500118
1020.2023/0005398-4,06025500487
1020.2023/0005342-9,24003200215
1020.2023/0006088-3,01504200659
1020.2023/0004708-9,06664700026
1020.2023/0008207-0,07109801586
1020.2023/0003547-1,07514600086
1020.2023/0003836-5,02503800106
1020.2023/0005897-8,07205400414
1020.2023/0009093-6,14911000790
1020.2023/0005156-6,04705000031
1020.2023/0007156-7,07206600190
1020.2023/0008763-3,01705600859
1020.2023/0006547-8,08135204019
1020.2023/0004768-2,09521800100
1020.2023/0006549-4,08825900821
1020.2023/0005002-0,08552700141
1020.2023/0010509-7,01306600510
1020.2023/0013866-1,11329702068
1020.2023/0008649-1,08566000382
1020.2023/0008492-8,08511500367
1020.2023/0012002-9,13939700087
1020.2023/0006827-2,00807200433
1020.2023/0008239-9,09531500614
1020.2023/0006926-0,08528200140
1020.2023/0008001-9,11510000266
1020.2023/0006507-9,11247900354
1020.2023/0012243-9,30703000125
1020.2023/0009951-8,11733800068
1020.2020/0007474-9,13420500199
1020.2021/0010855-6,12513800825
1020.2020/0000585-2,09533700211
1020.2020/0013617-5,30611800028
1020.2023/0015724-0,01503500527
1020.2020/0000898-3,30701000128
1020.2020/0008477-9,07647200135
1020.2021/0002913-3,17206700208
1020.2020/0013325-7,02006301985
1020.2020/0009379-4,06607100287
1020.2021/0009821-6,14725700095
1020.2023/0017072-7,04123900089
1020.2021/0008273-5,16714000145
1020.2021/0004540-6,06701400388
1020.2023/0012277-3,14732000729
1020.2020/0001507-6,30509200254
1020.2020/0002302-8,05927200184
1020.2020/0008200-8,03304602771
1020.2023/0015860-3,11645700355
1020.2020/0003618-9,11139400265
1020.2020/0004586-2,08541601986
1020.2020/0008110-9,02205300512
1020.2023/0016300-3,04310800289
1020.2021/0006605-5,10606100406
1020.2020/0006901-0,05103900289
1020.2020/0013800-3,11720000475
1020.2023/0012287-0,04710300021
1020.2023/0014542-0,09023500369
1020.2023/0009761-2,09800200762
1020.2023/0012283-8,29911800235
1020.2020/0006038-1,05011000494
1020.2020/0008452-3,17517600299
1020.2022/0004596-3,06303000541
1020.2022/0001935-0,08502200542
1020.2022/0004671-4,10732400014
1020.2022/0007119-0,11155305689
1020.2022/0004056-2,16028300623
1020.2022/0004067-8,05324300101
1020.2022/0002068-5,09511500090
1020.2022/0005841-0,04121900219
1020.2022/0006827-0,17223600666
1020.2022/0007565-0,11408100044
1020.2022/0006406-2,06604100121
1020.2022/0003637-9,11348000294
1020.2022/0004917-9,02003700919
1020.2022/0008191-9,11131200631
1020.2022/0004035-0,16530600301
1020.2022/0004324-3,15213701425
1020.2022/0007031-3,08558800170
1020.2022/0008201-0,10603900487
1020.2022/0008458-6,10302504140
1020.2022/0008458-6,10302503748
1020.2022/0008637-6,08514400401
1020.2022/0005054-1,05913400781
1020.2022/0007052-6,01300100044
1020.2022/0009888-9,08304900671
1020.2022/0008990-1,01301606936
1020.2022/0009897-8,03806906807
1020.2022/0010346-7,08516900029
1020.2022/0011567-8,01502500264
1020.2021/0003023-9,10209400012
1020.2022/0010398-0,05618200422
1020.2022/0007307-0,06822300341
1020.2022/0011708-5,12319200206
1020.2022/0011946-0,04601000051
1020.2022/0013414-1,08304300461
1020.2022/0013698-5,04118300389
1020.2022/0012542-8,08514800116
1020.2022/0008710-0,08119000137
1020.2022/0008806-9,15320100281
1020.2022/0016409-1,07736800413
1020.2022/0013885-6,04728408787
1020.2022/0013516-4,14604800528
1020.2020/0015793-8,29906105176
1020.2022/0014996-3,11316500046
1020.2022/0014619-0,03610101032
1020.2022/0015001-5,07205400104
1020.2022/0013398-6,08709500294
1020.2022/0016421-0,07648600031
1020.2022/0015234-4,15516800713
1020.2022/0015312-0,02903600341
1020.2022/0016301-0,13228800139
1020.2022/0015365-0,07823900378
1020.2022/0016428-8,05401500300
1020.2022/0017327-9,08731300758
1020.2022/0018929-9,00601605209
1020.2022/0012628-9,01004700016
1020.2022/0012646-7,09310300248
1020.2022/0012806-0,07208600333
1020.2022/0019268-0,03611100102
1020.2022/0017564-6,11837100151
1020.2020/0013241-2,07613300315
1020.2022/0019169-2,08514800701
1020.2022/0019492-6,11834200856
1020.2022/0023056-6,00204700450
1020.2022/0020346-1,11244400954
1020.2021/0002880-3,11606903305
1020.2021/0002880-3,11606904794
1020.2021/0002880-3,11606904247
1020.2022/0021704-7,15603700105
1020.2022/0021038-7,08711200677
1020.2022/0019754-2,02006604821
1020.2020/0004260-0,03302906277
1020.2022/0021486-2,29906105834
1020.2022/0021486-2,29906104927
1020.2022/0017831-9,01300900164
1020.2022/0023375-1,21403400014
1020.2022/0022619-4,08500100079
1020.2022/0021907-4,09004700161
1020.2022/0024196-7,05016500126
1020.2022/0022078-1,13222600022
1020.2023/0000981-0,08704900030
1020.2023/0000442-8,05810000088
1020.2023/0001836-4,04112304617
1020.2023/0001183-1,30306201116
1020.2023/0000006-6,30400100336
1020.2023/0000214-0,01009000012
1020.2022/0023999-7,02302600770
1020.2022/0023772-2,16402301093
1020.2022/0022555-4,11930201175
1020.2023/0000396-0,08222100483
1020.2023/0000569-6,04216300146
1020.2023/0000361-8,01612305725
1020.2023/0000562-9,04704700364
1020.2023/0004460-8,17002300198
1020.2023/0006912-0,11142500267
1020.2023/0001486-5,29913200219
1020.2023/0002840-8,08636500249
1020.2023/0003559-5,14510200357
1020.2023/0005339-9,04219100237
1020.2021/0010923-4,07021901577
1020.2023/0005929-0,01302405020
1020.2023/0008217-8,14404500229
1020.2023/0006013-1,04202200020
1020.2023/0004426-8,09709900056
1020.2023/0004956-1,06014300090
1020.2023/0003592-7,07844301325
1020.2023/0003430-0,07209500928
1020.2023/0003434-3,05711900188
1020.2023/0007603-8,04716300641
1020.2023/0002696-0,08516900444
1020.2023/0001844-5,07502600302
1020.2023/0014676-1,10820600015
1020.2023/0007678-0,01302403648
1020.2023/0007678-0,01302404350
1020.2023/0009095-2,14511900204
1020.2023/0008636-0,06718900265
1020.2023/0009127-4,30204800029
1020.2023/0010881-9,16818800105
1020.2023/0010412-0,04406400206
1020.2023/0010511-9,02106300948
1020.2023/0009768-0,02102501728
1020.2023/0011203-4,29911700451
1020.2023/0011182-8,02902800401
1020.2023/0009996-8,15722500282
1020.2023/0010045-1,14728500501
1020.2023/0009987-9,08100509174
1020.2023/0016304-6,14722000718
1020.2023/0013507-7,13039000127
1020.2023/0013323-6,16832800273
1020.2023/0013840-8,13115100158
1020.2021/0010116-0,11266200419
1020.2021/0010633-2,01203900694
1020.2021/0012138-2,09042300371
1020.2021/0011331-2,11614801011
1020.2020/0001171-2,11228800013
1020.2020/0003245-0,06003200480
1020.2021/0002501-4,05801600965
1020.2021/0003968-6,06114300513
1020.2020/0012024-4,07124301092
1020.2020/0015690-7,04618600063
1020.2020/0001610-2,18706301133
1020.2021/0003384-0,05229400234
1020.2021/0000415-7,15919800460
1020.2020/0003922-6,05203200092
1020.2020/0012693-5,04408900958
1020.2021/0005760-9,15027600576
1020.2020/0001142-9,00304200751
1020.2021/0005129-5,05131500729
1020.2021/0008986-1,11306500582
