sistema,processo,protocolo,codigoAssuntoObra,situacaoDespacho,unidade,dtEmissaoDespacho,dtPublicacaoDespacho,dt_inclusao
AprovaDigital,1020.2020/0015561-7,654-20-SP-SAO,5fd3dcb92e06cd0008355a44,NULL,SMUL/COMIN/DCIMP,2022-01-14,2022-01-14,2023-08-31 14:46:00
AprovaDigital,1020.2020/0015406-8,656-20-SP-SAO,5fd3e323f3c5f9000806c57c,NULL,SMUL/COMIN/DCIGP,2021-02-07,2021-02-07,2023-08-31 14:46:00
AprovaDigital,1020.2020/0015819-5,659-20-SP-NEW,5fd5031a62fed100094a1daa,NULL,SMUL/CONTRU/DINS,2021-06-15,2021-06-15,2023-08-31 14:46:00
AprovaDigital,1020.2021/0000036-4,660-20-SP-SAO,5fd574fe973dc400088fb1d3,NULL,SMUL/RESID/DRPM,2021-02-19,2021-02-19,2023-08-31 14:46:00
AprovaDigital,1020.2021/0007654-9,662-20-SP-NEW,5fd76f65f295080008d39745,NULL,SMUL/CONTRU/DLR,2021-07-22,2021-07-22,2023-08-31 14:46:00
AprovaDigital,1020.2020/0015554-4,663-20-SP-NEW,5fd77c8abd910f0009e17fd2,NULL,SMUL/CONTRU/DACESS,2022-02-07,2022-02-07,2023-08-31 14:46:00
AprovaDigital,1020.2021/0008380-4,664-20-SP-NEW,5fd78740722f2e0009e74cb3,NULL,SMUL/CONTRU/DACESS,2022-05-10,2022-05-10,2023-08-31 14:46:00
AprovaDigital,1020.2020/0015547-1,665-20-SP-SAO,5fd7874a722f2e0009e74cb6,NULL,SMUL/PARHIS/DHMP,2021-04-08,2021-04-08,2023-08-31 14:46:00
AprovaDigital,1020.2020/0015547-1,665-20-SP-SAO,5fd7874a722f2e0009e74cb6,NULL,SMUL/PARHIS/DHMP,2022-12-30,2022-12-30,2023-08-31 14:46:00
AprovaDigital,1020.2021/0001396-2,666-20-SP-NEW,5fd7904c5db67d00081fd8ae,NULL,SMUL/CONTRU/DLR,2022-05-25,2022-05-25,2023-08-31 14:46:00
AprovaDigital,1020.2021/0001396-2,666-20-SP-NEW,5fd7904c5db67d00081fd8ae,NULL,SMUL/CONTRU/DLR,2023-05-25,2023-05-25,2023-08-31 14:46:00
