sistema,processo,protocolo,codigoAssuntoObra,situacaoComuniqueSe,unidade,codigoComuniquese,dtEmissaoComuniquese,dtPublicacaoComuniquese,dt_inclusao,responsavel
AprovaDigital,1020.2022/0020019-5,20761-22-SP-DLR,632bb2baeaea5b0009b83cc8,NULL,SMUL/CONTRU/DLR,NULL,2023-06-21,2023-06-21,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020019-5,20761-22-SP-DLR,632bb2baeaea5b0009b83cc8,NULL,SMUL/CONTRU/DLR,NULL,2023-08-03,2023-08-03,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020020-9,21364-22-SP-CER,633dc6e1de93490009168d70,NULL,SMUL/CONTRU/DINS,NULL,2023-05-29,2023-05-29,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020023-3,14987-22-SP-CER,62ab83797b4bb0000933512e,NULL,SMUL/CONTRU/DSUS,NULL,2023-03-09,2023-03-09,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020026-8,16065-22-SP-CER,62c7202db91a050009a21f3f,NULL,SMUL/CONTRU/DSUS,NULL,2023-02-13,2023-02-13,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020026-8,16065-22-SP-CER,62c7202db91a050009a21f3f,NULL,SMUL/CONTRU/DSUS,NULL,2023-05-02,2023-05-02,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020026-8,16065-22-SP-CER,62c7202db91a050009a21f3f,NULL,SMUL/CONTRU/DSUS,NULL,2023-06-21,2023-06-21,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020026-8,16065-22-SP-CER,62c7202db91a050009a21f3f,NULL,SMUL/CONTRU/DSUS,NULL,2023-07-26,2023-07-26,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020026-8,16065-22-SP-CER,62c7202db91a050009a21f3f,NULL,SMUL/CONTRU/DSUS,NULL,2023-08-30,2023-08-30,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020027-6,16044-22-SP-CER,62c6c33bdd8108000937bf89,NULL,SMUL/CONTRU/DSUS,NULL,2023-02-13,2023-02-13,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020027-6,16044-22-SP-CER,62c6c33bdd8108000937bf89,NULL,SMUL/CONTRU/DSUS,NULL,2023-05-02,2023-05-02,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020027-6,16044-22-SP-CER,62c6c33bdd8108000937bf89,NULL,SMUL/CONTRU/DSUS,NULL,2023-06-21,2023-06-21,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020028-4,15904-22-SP-CER,62c438029bc15900093bb836,NULL,SMUL/CONTRU/DSUS,NULL,2023-03-09,2023-03-09,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020028-4,15904-22-SP-CER,62c438029bc15900093bb836,NULL,SMUL/CONTRU/DSUS,NULL,2023-05-02,2023-05-02,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020028-4,15904-22-SP-CER,62c438029bc15900093bb836,NULL,SMUL/CONTRU/DSUS,NULL,2023-06-21,2023-06-21,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020034-9,20975-22-SP-ALV,633214affe305e00092887fb,NULL,SMUL/SERVIN/DSIGP,NULL,2023-05-19,2023-05-19,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020035-7,20512-22-SP-ALV,6324769c271f5600090ee2fa,NULL,SMUL/RESID/DRGP,NULL,2022-12-08,2022-12-08,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020036-5,20982-22-SP-ALV,633223ab8376e80009f26793,NULL,SMUL/RESID/DRGP,NULL,2022-11-08,2022-11-08,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020039-0,21448-22-SP-CCE,633f57528eb42800095560a3,NULL,SMUL/RESID/DRGP,NULL,2022-11-01,2022-11-01,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020043-8,21417-22-SP-TAX,633f15d7a7e4ba00094eef15,NULL,SMUL/SERVIN,NULL,2022-11-01,2022-11-01,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020044-6,21463-22-SP-ALV,63403014e9763b00099375aa,NULL,SMUL/RESID/DRGP,NULL,2022-12-19,2022-12-19,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020044-6,21463-22-SP-ALV,63403014e9763b00099375aa,NULL,SMUL/RESID/DRGP,NULL,2023-02-23,2023-02-23,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020048-9,21553-22-SP-ALV,6344660e82468a0009cde5fb,NULL,SMUL/RESID/DRGP,NULL,2023-04-18,2023-04-18,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020048-9,21553-22-SP-ALV,6344660e82468a0009cde5fb,NULL,SMUL/RESID/DRGP,NULL,2023-05-16,2023-05-16,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020052-7,21569-22-SP-ALV,634489d791f0ea00099caf32,NULL,SMUL/COMIN/DCIMP,NULL,2023-06-27,2023-06-27,2023-09-05 19:09:00,NULL
