n_protocolo;n_processo;data_comuniquese;coord_comuniquese;data_extracao
14316/2021;1020.2021/0004372-1;22/03/2023;GTEC;2024.06.03
14752/2022;1020.2022/0004272-7;04/01/2024;GTEC;2024.06.03
14752/2022;1020.2022/0004272-7;15/03/2024;GTEC;2024.06.03
14752/2022;1020.2022/0004272-7;27/11/2023;GTEC;2024.06.03
14752/2022;1020.2022/0004272-7;31/07/2023;GTEC;2024.06.03
1516/2022;1020.2020/0005382-2;26/02/2024;GTEC;2024.06.03
15255/2023;1020.2021/0017604-7;21/07/2023;GTEC;2024.06.03
15286/2021;1020.2021/0004142-7;08/04/2024;GTEC;2024.06.03
15327/2023;1020.2022/0005166-1;21/06/2023;GTEC;2024.06.03
15327/2023;1020.2022/0005166-1;23/01/2024;GTEC;2024.06.03
15408/2020;1020.2020/0005760-7;19/10/2022;GTEC;2024.06.03
15952/2020;1020.2020/0009248-8;22/02/2023;GTEC;2024.06.03
16165/2021;1020.2021/0005446-4;03/07/2023;GTEC;2024.06.03
16198/2022;1020.2022/0006304-0;22/11/2022;GTEC;2024.06.03
16223/2021;1020.2021/0007351-5;04/04/2024;GTEC;2024.06.03
1662/2022;1020.2020/0000455-4;24/01/2023;GTEC;2024.06.03
16777/2022;1020.2022/0005349-4;21/03/2024;GTEC;2024.06.03
1720/2021;1020.2021/0007270-5;16/05/2024;GTEC;2024.06.03
1809/2022;1020.2020/0007251-7;13/06/2023;GTEC;2024.06.03
1809/2022;1020.2020/0007251-7;14/03/2023;GTEC;2024.06.03
1820/2022;1020.2022/0004273-5;27/02/2023;GTEC;2024.06.03
18353/2022;1020.2022/0006076-8;01/11/2023;GTEC;2024.06.03
18798/2021;1020.2021/0006189-4;06/09/2023;GTEC;2024.06.03
18798/2021;1020.2021/0006189-4;10/11/2023;GTEC;2024.06.03
18798/2021;1020.2021/0006189-4;20/07/2023;GTEC;2024.06.03
19085/2022;1020.2020/0002719-8;14/03/2024;GTEC;2024.06.03
19085/2022;1020.2020/0002719-8;27/05/2024;GTEC;2024.06.03
1921/2022;1020.2020/0003417-8;01/03/2024;GTEC;2024.06.03
1921/2022;1020.2020/0003417-8;13/05/2024;GTEC;2024.06.03
19231/2020;1020.2020/0005383-0;27/09/2023;GTEC;2024.06.03
19845/2022;1020.2022/0006902-1;19/01/2024;GTEC;2024.06.03
19989/2021;1020.2021/0004729-8;03/03/2023;GTEC;2024.06.03
19989/2021;1020.2021/0004729-8;03/05/2023;GTEC;2024.06.03
19989/2021;1020.2021/0004729-8;18/01/2023;GTEC;2024.06.03
20135/2022;1020.2020/0004644-3;09/05/2024;GTEC;2024.06.03
20135/2022;1020.2020/0004644-3;14/03/2024;GTEC;2024.06.03
20426/2021;1020.2021/0005987-3;13/05/2024;GTEC;2024.06.03
20426/2021;1020.2021/0005987-3;16/02/2024;GTEC;2024.06.03
20543/2021;1020.2021/0005449-9;09/02/2023;GTEC;2024.06.03
20643/2022;1020.2022/0006302-3;09/01/2023;GTEC;2024.06.03
20643/2022;1020.2022/0006302-3;09/03/2023;GTEC;2024.06.03
20643/2022;1020.2022/0006302-3;14/09/2023;GTEC;2024.06.03
20643/2022;1020.2022/0006302-3;22/11/2022;GTEC;2024.06.03
20676/2022;1020.2021/0012646-5;14/07/2023;GTEC;2024.06.03
20676/2022;1020.2021/0012646-5;29/05/2023;GTEC;2024.06.03
2073/2024;1020.2020/0006792-0;06/05/2024;GTEC;2024.06.03
21122/2021;1020.2021/0007972-6;24/04/2024;GTEC;2024.06.03
21133/2023;1020.2021/0015689-5;19/06/2023;GTEC;2024.06.03
21133/2023;1020.2021/0015689-5;19/09/2023;GTEC;2024.06.03
2132/2020;1020.2020/0000697-2;29/06/2023;GTEC;2024.06.03
21345/2022;1020.2020/0005908-1;28/04/2023;GTEC;2024.06.03
21789/2022;1020.2020/0003817-3;05/09/2023;GTEC;2024.06.03
21941/2023;1020.2021/0017826-0;18/01/2024;GTEC;2024.06.03
21941/2023;1020.2021/0017826-0;25/03/2024;GTEC;2024.06.03
21943/2020;1020.2020/0012482-7;24/11/2022;GTEC;2024.06.03
22405/2022;1020.2022/0008695-3;15/12/2023;GTEC;2024.06.03
22405/2022;1020.2022/0008695-3;26/10/2023;GTEC;2024.06.03
22684/2023;1020.2022/0021886-8;16/01/2024;GTEC;2024.06.03
22684/2023;1020.2022/0021886-8;19/04/2024;GTEC;2024.06.03
22852/2020;1020.2020/0009122-8;13/05/2024;GTEC;2024.06.03
22852/2020;1020.2020/0009122-8;18/03/2024;GTEC;2024.06.03
22852/2020;1020.2020/0009122-8;26/10/2023;GTEC;2024.06.03
23771/2021;1020.2021/0006353-6;17/04/2023;GTEC;2024.06.03
24064/2023;1020.2023/0012636-1;05/01/2024;GTEC;2024.06.03
24064/2023;1020.2023/0012636-1;13/11/2023;GTEC;2024.06.03
24087/2022;1020.2022/0008240-0;03/02/2023;GTEC;2024.06.03
24087/2022;1020.2022/0008240-0;06/04/2023;GTEC;2024.06.03
24087/2022;1020.2022/0008240-0;22/05/2023;GTEC;2024.06.03
24132/2023;1020.2022/0011886-3;12/09/2023;GTEC;2024.06.03
24332/2023;1020.2020/0015343-6;22/01/2024;GTEC;2024.06.03
24332/2023;1020.2020/0015343-6;22/11/2023;GTEC;2024.06.03
24332/2023;1020.2020/0015343-6;29/04/2024;GTEC;2024.06.03
24744/2023;1020.2023/0014199-9;09/10/2023;GTEC;2024.06.03
25556/2023;1020.2022/0020919-2;31/10/2023;GTEC;2024.06.03
25557/2020;1020.2020/0016046-7;14/04/2023;GTEC;2024.06.03
25557/2020;1020.2020/0016046-7;17/01/2023;GTEC;2024.06.03
257/2022;1020.2022/0001904-0;17/05/2023;GTEC;2024.06.03
26234/2022;1020.2020/0005055-6;01/09/2023;GTEC;2024.06.03
26234/2022;1020.2020/0005055-6;10/11/2023;GTEC;2024.06.03
26312/2022;1020.2020/0003684-7;22/04/2024;GTEC;2024.06.03
26766/2021;1020.2021/0011097-6;20/07/2023;GTEC;2024.06.03
27034/2022;1020.2020/0005710-0;28/03/2024;GTEC;2024.06.03
27225/2022;1020.2022/0009218-0;16/01/2024;GTEC;2024.06.03
27709/2022;1020.2022/0016410-5;19/06/2023;GTEC;2024.06.03
28076/2022;1020.2021/0009724-4;08/01/2024;GTEC;2024.06.03
28076/2022;1020.2021/0009724-4;17/04/2024;GTEC;2024.06.03
28368/2020;1020.2020/0007448-0;08/12/2022;GTEC;2024.06.03
28368/2020;1020.2020/0007448-0;15/03/2023;GTEC;2024.06.03
28368/2020;1020.2020/0007448-0;19/05/2023;GTEC;2024.06.03
28406/2020;1020.2020/0006183-3;19/10/2022;GTEC;2024.06.03
28875/2021;1020.2021/0008324-3;03/05/2024;GTEC;2024.06.03
28948/2021;1020.2020/0001265-4;17/05/2024;GTEC;2024.06.03
29269/2020;1020.2020/0000853-3;10/04/2023;GTEC;2024.06.03
29269/2020;1020.2020/0000853-3;14/06/2023;GTEC;2024.06.03
29269/2020;1020.2020/0000853-3;15/02/2023;GTEC;2024.06.03
2930/2021;1020.2021/0007229-2;20/05/2024;GTEC;2024.06.03
29333/2021;1020.2021/0009571-3;17/03/2023;GTEC;2024.06.03
29975/2021;1020.2021/0008949-7;13/11/2023;GTEC;2024.06.03
30036/2021;1020.2021/0009496-2;14/09/2023;GTEC;2024.06.03
30503/2021;1020.2021/0014199-5;15/04/2024;GTEC;2024.06.03
3101/2022;1020.2020/0002328-1;08/05/2024;GTEC;2024.06.03
3101/2022;1020.2020/0002328-1;13/03/2024;GTEC;2024.06.03
31323/2021;1020.2021/0011101-8;09/11/2022;GTEC;2024.06.03
31379/2021;1020.2021/0011099-2;20/05/2024;GTEC;2024.06.03
31535/2023;1020.2021/0011054-2;17/05/2024;GTEC;2024.06.03
320/2022;1020.2020/0002677-9;15/05/2024;GTEC;2024.06.03
320/2022;1020.2020/0002677-9;23/02/2024;GTEC;2024.06.03
32589/2020;1020.2020/0005756-9;17/10/2022;GTEC;2024.06.03
32589/2020;1020.2020/0005756-9;22/11/2022;GTEC;2024.06.03
32639/2020;1020.2020/0007346-7;02/12/2022;GTEC;2024.06.03
32817/2023;1020.2021/0011750-4;07/03/2024;GTEC;2024.06.03
32957/2022;1020.2022/0011886-3;14/04/2023;GTEC;2024.06.03
32957/2022;1020.2022/0011886-3;24/05/2023;GTEC;2024.06.03
32993/2022;1020.2022/0011786-7;15/05/2024;GTEC;2024.06.03
32993/2022;1020.2022/0011786-7;27/03/2024;GTEC;2024.06.03
33280/2022;1020.2020/0003685-5;28/03/2024;GTEC;2024.06.03
33924/2022;1020.2020/0003218-3;11/05/2023;GTEC;2024.06.03
33924/2022;1020.2020/0003218-3;17/02/2023;GTEC;2024.06.03
34256/2020;1020.2020/0012380-4;27/01/2023;GTEC;2024.06.03
34326/2021;1020.2021/0010922-6;24/04/2023;GTEC;2024.06.03
34958/2022;1020.2022/0018535-8;19/12/2023;GTEC;2024.06.03
34958/2022;1020.2022/0018535-8;21/11/2023;GTEC;2024.06.03
35117/2020;1020.2020/0005909-0;17/10/2022;GTEC;2024.06.03
35235/2021;1020.2021/0011750-4;07/06/2023;GTEC;2024.06.03
35235/2021;1020.2021/0011750-4;26/01/2023;GTEC;2024.06.03
3596/2021;1020.2021/0007259-4;07/03/2023;GTEC;2024.06.03
3596/2021;1020.2021/0007259-4;14/11/2022;GTEC;2024.06.03
36127/2021;1020.2021/0015885-5;16/08/2023;GTEC;2024.06.03
36162/2020;1020.2020/0003811-4;22/04/2024;GTEC;2024.06.03
36219/2022;1020.2022/0014424-4;04/09/2023;GTEC;2024.06.03
36219/2022;1020.2022/0014424-4;27/11/2023;GTEC;2024.06.03
36337/2021;1020.2021/0011054-2;31/05/2023;GTEC;2024.06.03
36366/2021;1020.2021/0010923-4;27/01/2023;GTEC;2024.06.03
36589/2021;1020.2020/0003815-7;22/05/2023;GTEC;2024.06.03
36589/2021;1020.2020/0003815-7;24/03/2023;GTEC;2024.06.03
36636/2020;1020.2020/0012751-6;09/05/2024;GTEC;2024.06.03
36636/2020;1020.2020/0012751-6;14/03/2024;GTEC;2024.06.03
36702/2021;1020.2020/0003813-0;14/04/2023;GTEC;2024.06.03
36702/2021;1020.2020/0003813-0;22/05/2023;GTEC;2024.06.03
36702/2021;1020.2020/0003813-0;29/03/2023;GTEC;2024.06.03
36841/2021;1020.2021/0011943-4;29/05/2023;GTEC;2024.06.03
36856/2021;1020.2020/0004646-0;14/06/2023;GTEC;2024.06.03
36856/2021;1020.2020/0004646-0;18/09/2023;GTEC;2024.06.03
36856/2021;1020.2020/0004646-0;19/04/2023;GTEC;2024.06.03
37225/2020;1020.2020/0005386-5;05/12/2022;GTEC;2024.06.03
37547/2022;1020.2022/0021657-1;06/05/2024;GTEC;2024.06.03
37666/2021;1020.2020/0004643-5;02/05/2023;GTEC;2024.06.03
38535/2021;1020.2020/0004799-7;27/04/2023;GTEC;2024.06.03
38648/2021;1020.2020/0003412-7;31/03/2023;GTEC;2024.06.03
38680/2020;1020.2020/0002685-0;20/01/2023;GTEC;2024.06.03
39026/2020;1020.2020/0006804-8;26/10/2022;GTEC;2024.06.03
39026/2020;1020.2020/0006804-8;30/01/2023;GTEC;2024.06.03
39131/2023;1020.2022/0003034-6;19/01/2024;GTEC;2024.06.03
39171/2021;1020.2021/0013344-5;09/02/2024;GTEC;2024.06.03
39319/2021;1020.2021/0012571-0;08/11/2022;GTEC;2024.06.03
39319/2021;1020.2021/0012571-0;24/11/2022;GTEC;2024.06.03
39371/2021;1020.2020/0004262-6;19/04/2023;GTEC;2024.06.03
39600/2020;1020.2020/0009121-0;01/06/2023;GTEC;2024.06.03
39945/2020;1020.2020/0002664-7;06/12/2022;GTEC;2024.06.03
39945/2020;1020.2020/0002664-7;10/02/2023;GTEC;2024.06.03
39956/2021;1020.2021/0012969-3;17/03/2023;GTEC;2024.06.03
39956/2021;1020.2021/0012969-3;25/05/2023;GTEC;2024.06.03
40639/2020;1020.2020/0005016-5;24/02/2023;GTEC;2024.06.03
40646/2020;1020.2020/0005907-3;17/10/2022;GTEC;2024.06.03
40646/2020;1020.2020/0005907-3;25/11/2022;GTEC;2024.06.03
41188/2022;1020.2022/0015738-9;08/11/2022;GTEC;2024.06.03
41266/2020;1020.2020/0005758-5;13/01/2023;GTEC;2024.06.03
41272/2021;1020.2021/0012980-4;27/05/2024;GTEC;2024.06.03
4150/2023;1020.2020/0005905-7;06/05/2024;GTEC;2024.06.03
41520/2022;1020.2020/0005716-0;19/02/2024;GTEC;2024.06.03
41890/2021;1020.2020/0001185-2;03/03/2023;GTEC;2024.06.03
41890/2021;1020.2020/0001185-2;18/05/2023;GTEC;2024.06.03
41968/2021;1020.2021/0012662-7;17/05/2024;GTEC;2024.06.03
42232/2021;1020.2020/0005051-3;13/11/2023;GTEC;2024.06.03
42232/2021;1020.2020/0005051-3;27/10/2023;GTEC;2024.06.03
42232/2021;1020.2020/0005051-3;31/03/2023;GTEC;2024.06.03
42297/2020;1020.2020/0006184-1;21/10/2022;GTEC;2024.06.03
42306/2020;1020.2020/0005915-4;21/10/2022;GTEC;2024.06.03
42675/2020;1020.2020/0003692-8;19/01/2023;GTEC;2024.06.03
42675/2020;1020.2020/0003692-8;21/11/2022;GTEC;2024.06.03
42954/2021;1020.2021/0013354-2;05/10/2023;GTEC;2024.06.03
42954/2021;1020.2021/0013354-2;18/03/2024;GTEC;2024.06.03
42977/2023;1020.2024/0000019-0;09/04/2024;GTEC;2024.06.03
43128/2020;1020.2020/0006824-2;04/11/2022;GTEC;2024.06.03
43356/2021;1020.2020/0000121-0;12/12/2022;GTEC;2024.06.03
43395/2020;1020.2020/0006186-8;27/10/2022;GTEC;2024.06.03
43417/2021;1020.2021/0013905-2;21/03/2023;GTEC;2024.06.03
43562/2020;1020.2020/0006182-5;07/06/2023;GTEC;2024.06.03
43562/2020;1020.2020/0006182-5;14/08/2023;GTEC;2024.06.03
43562/2020;1020.2020/0006182-5;25/10/2022;GTEC;2024.06.03
43661/2020;1020.2020/0005006-8;05/10/2023;GTEC;2024.06.03
43868/2020;1020.2020/0004688-5;01/06/2023;GTEC;2024.06.03
43868/2020;1020.2020/0004688-5;23/01/2024;GTEC;2024.06.03
44424/2021;1020.2020/0002756-2;09/10/2023;GTEC;2024.06.03
44424/2021;1020.2020/0002756-2;13/07/2023;GTEC;2024.06.03
44424/2021;1020.2020/0002756-2;27/04/2023;GTEC;2024.06.03
44480/2020;1020.2020/0007341-6;01/12/2022;GTEC;2024.06.03
44859/2020;1020.2020/0007056-5;02/01/2023;GTEC;2024.06.03
44859/2020;1020.2020/0007056-5;18/11/2022;GTEC;2024.06.03
4491/2020;1020.2020/0004444-0;04/09/2023;GTEC;2024.06.03
4491/2020;1020.2020/0004444-0;13/12/2023;GTEC;2024.06.03
44969/2023;1020.2021/0015686-0;16/02/2024;GTEC;2024.06.03
44969/2023;1020.2021/0015686-0;30/04/2024;GTEC;2024.06.03
45079/2023;1020.2020/0012614-5;20/03/2024;GTEC;2024.06.03
45079/2023;1020.2020/0012614-5;27/05/2024;GTEC;2024.06.03
45097/2020;1020.2020/0009245-3;17/03/2023;GTEC;2024.06.03
4519/2022;1020.2020/0004480-7;28/02/2024;GTEC;2024.06.03
45363/2021;1020.2021/0016179-1;15/03/2024;GTEC;2024.06.03
45577/2020;1020.2020/0006187-6;26/10/2022;GTEC;2024.06.03
45837/2020;1020.2020/0005910-3;20/10/2022;GTEC;2024.06.03
45905/2020;1020.2020/0005914-6;07/03/2024;GTEC;2024.06.03
45905/2020;1020.2020/0005914-6;08/02/2024;GTEC;2024.06.03
45908/2021;1020.2020/0000855-0;28/04/2023;GTEC;2024.06.03
45913/2021;1020.2021/0015686-0;27/07/2023;GTEC;2024.06.03
46024/2020;1020.2020/0006178-7;10/05/2023;GTEC;2024.06.03
46024/2020;1020.2020/0006178-7;10/11/2022;GTEC;2024.06.03
46024/2020;1020.2020/0006178-7;13/07/2023;GTEC;2024.06.03
46024/2020;1020.2020/0006178-7;20/12/2022;GTEC;2024.06.03
46109/2021;1020.2021/0015790-5;22/12/2023;GTEC;2024.06.03
46109/2021;1020.2021/0015790-5;28/07/2023;GTEC;2024.06.03
46355/2020;1020.2020/0005906-5;13/10/2022;GTEC;2024.06.03
46418/2020;1020.2020/0005912-0;24/10/2022;GTEC;2024.06.03
46418/2020;1020.2020/0005912-0;31/01/2023;GTEC;2024.06.03
46477/2020;1020.2020/0006181-7;26/10/2022;GTEC;2024.06.03
465/2024;1020.2021/0012313-0;01/02/2024;GTEC;2024.06.03
46548/2020;1020.2020/0006179-5;04/11/2022;GTEC;2024.06.03
46737/2022;1020.2022/0019363-6;26/05/2023;GTEC;2024.06.03
46772/2020;1020.2020/0006180-9;02/01/2023;GTEC;2024.06.03
46772/2020;1020.2020/0006180-9;03/11/2022;GTEC;2024.06.03
46772/2020;1020.2020/0006180-9;07/06/2023;GTEC;2024.06.03
46840/2020;1020.2020/0005913-8;03/01/2023;GTEC;2024.06.03
46840/2020;1020.2020/0005913-8;27/07/2023;GTEC;2024.06.03
46840/2020;1020.2020/0005913-8;31/10/2022;GTEC;2024.06.03
46862/2023;1020.2023/0024004-0;01/04/2024;GTEC;2024.06.03
46944/2022;1020.2020/0000075-3;06/12/2022;GTEC;2024.06.03
46944/2022;1020.2020/0000075-3;22/02/2023;GTEC;2024.06.03
46975/2020;1020.2020/0007336-0;30/11/2022;GTEC;2024.06.03
47141/2021;1020.2021/0016812-5;09/11/2023;GTEC;2024.06.03
47141/2021;1020.2021/0016812-5;21/07/2023;GTEC;2024.06.03
47268/2021;1020.2021/0015690-9;22/05/2024;GTEC;2024.06.03
47415/2022;1020.2022/0020919-2;15/05/2023;GTEC;2024.06.03
47415/2022;1020.2022/0020919-2;22/03/2023;GTEC;2024.06.03
47465/2022;1020.2022/0020163-9;28/03/2023;GTEC;2024.06.03
47570/2021;1020.2021/0014738-1;13/09/2023;GTEC;2024.06.03
47570/2021;1020.2021/0014738-1;23/11/2023;GTEC;2024.06.03
47617/2022;1020.2020/0002218-8;02/04/2024;GTEC;2024.06.03
47617/2022;1020.2020/0002218-8;18/07/2023;GTEC;2024.06.03
47617/2022;1020.2020/0002218-8;31/01/2023;GTEC;2024.06.03
47621/2021;1020.2020/0000796-0;24/02/2023;GTEC;2024.06.03
47796/2020;1020.2020/0008987-8;19/06/2023;GTEC;2024.06.03
47892/2020;1020.2020/0012288-3;01/03/2023;GTEC;2024.06.03
47892/2020;1020.2020/0012288-3;10/01/2023;GTEC;2024.06.03
47920/2020;1020.2020/0004645-1;06/06/2023;GTEC;2024.06.03
47920/2020;1020.2020/0004645-1;25/04/2023;GTEC;2024.06.03
48151/2022;1020.2022/0020872-2;31/07/2023;GTEC;2024.06.03
48190/2020;1020.2020/0007453-6;22/06/2023;GTEC;2024.06.03
48340/2021;1020.2021/0017604-7;27/02/2023;GTEC;2024.06.03
48392/2020;1020.2020/0007444-7;05/12/2022;GTEC;2024.06.03
48392/2020;1020.2020/0007444-7;30/01/2023;GTEC;2024.06.03
48434/2022;1020.2021/0001830-1;27/04/2023;GTEC;2024.06.03
48660/2021;1020.2021/0015794-8;03/07/2023;GTEC;2024.06.03
48660/2021;1020.2021/0015794-8;04/01/2024;GTEC;2024.06.03
48660/2021;1020.2021/0015794-8;10/11/2023;GTEC;2024.06.03
48830/2022;1020.2021/0004917-7;05/02/2024;GTEC;2024.06.03
48830/2022;1020.2021/0004917-7;11/09/2023;GTEC;2024.06.03
48830/2022;1020.2021/0004917-7;20/12/2023;GTEC;2024.06.03
48857/2021;1020.2020/0001937-3;05/02/2024;GTEC;2024.06.03
48857/2021;1020.2020/0001937-3;05/10/2023;GTEC;2024.06.03
48857/2021;1020.2020/0001937-3;15/12/2023;GTEC;2024.06.03
48857/2021;1020.2020/0001937-3;20/04/2023;GTEC;2024.06.03
49274/2022;1020.2022/0021886-8;02/03/2023;GTEC;2024.06.03
49274/2022;1020.2022/0021886-8;30/01/2023;GTEC;2024.06.03
49309/2021;1020.2021/0015689-5;12/04/2023;GTEC;2024.06.03
49309/2021;1020.2021/0015689-5;20/03/2023;GTEC;2024.06.03
49357/2020;1020.2020/0007337-8;25/08/2023;GTEC;2024.06.03
49357/2020;1020.2020/0007337-8;29/11/2022;GTEC;2024.06.03
49357/2020;1020.2020/0007337-8;30/06/2023;GTEC;2024.06.03
49881/2021;1020.2020/0004806-3;27/10/2023;GTEC;2024.06.03
49937/2021;1020.2020/0001936-5;17/01/2024;GTEC;2024.06.03
49957/2021;1020.2020/0004809-8;08/04/2024;GTEC;2024.06.03
49957/2021;1020.2020/0004809-8;22/01/2024;GTEC;2024.06.03
49995/2021;1020.2020/0003816-5;06/03/2024;GTEC;2024.06.03
49995/2021;1020.2020/0003816-5;17/01/2024;GTEC;2024.06.03
50454/2021;1020.2020/0002116-5;29/01/2024;GTEC;2024.06.03
51006/2020;1020.2020/0014651-0;23/01/2024;GTEC;2024.06.03
51325/2020;1020.2020/0008993-2;09/10/2023;GTEC;2024.06.03
51494/2021;1020.2021/0018602-6;10/10/2023;GTEC;2024.06.03
51494/2021;1020.2021/0018602-6;22/12/2023;GTEC;2024.06.03
51494/2021;1020.2021/0018602-6;27/07/2023;GTEC;2024.06.03
51639/2021;1020.2021/0016943-1;02/02/2023;GTEC;2024.06.03
51767/2021;1020.2020/0001687-0;22/01/2024;GTEC;2024.06.03
51982/2023;1020.2020/0012619-6;01/02/2024;GTEC;2024.06.03
52041/2020;1020.2020/0007339-4;22/12/2022;GTEC;2024.06.03
52041/2020;1020.2020/0007339-4;29/11/2022;GTEC;2024.06.03
52164/2020;1020.2020/0007343-2;02/12/2022;GTEC;2024.06.03
52164/2020;1020.2020/0007343-2;06/02/2023;GTEC;2024.06.03
52164/2020;1020.2020/0007343-2;09/01/2023;GTEC;2024.06.03
52962/2021;1020.2020/0002679-5;06/05/2024;GTEC;2024.06.03
52962/2021;1020.2020/0002679-5;29/01/2024;GTEC;2024.06.03
53211/2021;1020.2021/0017833-3;09/11/2023;GTEC;2024.06.03
53211/2021;1020.2021/0017833-3;18/08/2023;GTEC;2024.06.03
53455/2021;1020.2021/0017826-0;03/02/2023;GTEC;2024.06.03
53471/2020;1020.2020/0008173-7;06/03/2023;GTEC;2024.06.03
53507/2021;1020.2020/0000620-4;03/04/2023;GTEC;2024.06.03
53507/2021;1020.2020/0000620-4;24/01/2023;GTEC;2024.06.03
53525/2020;1020.2020/0005755-0;19/10/2022;GTEC;2024.06.03
53653/2020;1020.2020/0005753-4;02/10/2023;GTEC;2024.06.03
53653/2020;1020.2020/0005753-4;20/07/2023;GTEC;2024.06.03
53813/2021;1020.2021/0017407-9;05/09/2023;GTEC;2024.06.03
53922/2020;1020.2020/0006823-4;01/11/2022;GTEC;2024.06.03
5397/2023;1020.2023/0003756-3;03/04/2024;GTEC;2024.06.03
53975/2020;1020.2020/0006877-3;10/01/2023;GTEC;2024.06.03
53975/2020;1020.2020/0006877-3;11/04/2023;GTEC;2024.06.03
53975/2020;1020.2020/0006877-3;21/11/2022;GTEC;2024.06.03
53991/2020;1020.2020/0014757-6;13/06/2023;GTEC;2024.06.03
53991/2020;1020.2020/0014757-6;18/04/2023;GTEC;2024.06.03
53991/2020;1020.2020/0014757-6;23/01/2024;GTEC;2024.06.03
54032/2021;1020.2020/0001511-4;15/06/2023;GTEC;2024.06.03
54032/2021;1020.2020/0001511-4;18/12/2023;GTEC;2024.06.03
54032/2021;1020.2020/0001511-4;22/03/2023;GTEC;2024.06.03
54058/2020;1020.2020/0006794-7;03/11/2022;GTEC;2024.06.03
54058/2020;1020.2020/0006794-7;19/12/2022;GTEC;2024.06.03
54198/2021;1020.2021/0019335-9;22/05/2024;GTEC;2024.06.03
54264/2022;1020.2022/0022625-9;20/01/2023;GTEC;2024.06.03
54264/2022;1020.2022/0022625-9;20/07/2023;GTEC;2024.06.03
54273/2020;1020.2020/0006822-6;10/11/2022;GTEC;2024.06.03
54433/2020;1020.2020/0006821-8;26/10/2022;GTEC;2024.06.03
54482/2021;1020.2020/0002701-5;02/06/2023;GTEC;2024.06.03
54803/2021;1020.2021/0019336-7;23/02/2024;GTEC;2024.06.03
54803/2021;1020.2021/0019336-7;27/05/2024;GTEC;2024.06.03
55147/2021;1020.2020/0001689-7;31/01/2024;GTEC;2024.06.03
55816/2020;1020.2020/0006796-3;17/11/2022;GTEC;2024.06.03
55833/2020;1020.2020/0007051-4;19/12/2022;GTEC;2024.06.03
55833/2020;1020.2020/0007051-4;23/02/2023;GTEC;2024.06.03
55833/2020;1020.2020/0007051-4;31/10/2022;GTEC;2024.06.03
55873/2020;1020.2020/0007061-1;25/11/2022;GTEC;2024.06.03
56064/2020;1020.2020/0006792-0;08/12/2023;GTEC;2024.06.03
56064/2020;1020.2020/0006792-0;11/11/2022;GTEC;2024.06.03
56165/2020;1020.2020/0006798-0;07/11/2022;GTEC;2024.06.03
56252/2021;1020.2020/0000761-8;01/03/2023;GTEC;2024.06.03
56252/2021;1020.2020/0000761-8;06/04/2023;GTEC;2024.06.03
56288/2020;1020.2020/0007052-2;01/11/2022;GTEC;2024.06.03
56288/2020;1020.2020/0007052-2;06/02/2023;GTEC;2024.06.03
56288/2020;1020.2020/0007052-2;24/07/2023;GTEC;2024.06.03
56511/2020;1020.2020/0009247-0;24/08/2023;GTEC;2024.06.03
56539/2020;1020.2020/0007053-0;11/01/2023;GTEC;2024.06.03
56539/2020;1020.2020/0007053-0;21/11/2022;GTEC;2024.06.03
