processo;despacho;contagem_dispatched;contagem_dom
1020.2022/0017956-0;Despacho deferido;1;correto
1020.2022/0017952-8;Despacho deferido;1;correto
1020.2022/0017778-9;Despacho deferido;1;correto
1020.2022/0017768-1;Despacho deferido;1;correto
1020.2022/0017951-0;Despacho deferido;1;correto
1020.2022/0017775-4;Despacho deferido;1;correto
1020.2022/0017767-3;Despacho deferido;1;correto
1020.2022/0017779-7;Despacho deferido;1;correto
1020.2022/0017780-0;Despacho deferido;1;correto
1020.2022/0017909-9;Despacho deferido;1;correto
1020.2022/0017702-9;Despacho deferido;1;correto
1020.2022/0017643-0;Despacho deferido;1;correto
1020.2022/0018183-2;Despacho deferido;1;correto
1020.2022/0018182-4;Despacho deferido;1;correto
1020.2022/0017676-6;Despacho deferido;1;correto
1020.2022/0018181-6;Despacho deferido;1;correto
1020.2022/0018180-8;Despacho deferido;1;correto
1020.2022/0018179-4;Despacho deferido;1;correto
1020.2022/0017966-8;Despacho deferido;1;correto
1020.2022/0018178-6;Despacho deferido;1;correto
1020.2022/0018177-8;Despacho deferido;1;correto
1020.2022/0018176-0;Despacho deferido;1;correto
1020.2022/0017680-4;Despacho deferido;1;correto
1020.2022/0017681-2;Despacho deferido;1;correto
1020.2022/0017974-9;Despacho deferido;1;correto
1020.2022/0017683-9;Despacho deferido;1;correto
1020.2022/0017959-5;Despacho deferido;1;correto
1020.2022/0017640-5;Despacho deferido;1;inexistente
1020.2022/0017627-8;Despacho deferido;1;correto
1020.2022/0017970-6;Despacho deferido;1;correto
1020.2022/0017628-6;Despacho deferido;1;correto
1020.2022/0018185-9;Despacho deferido;1;correto
1020.2022/0017973-0;Despacho deferido;1;correto
1020.2022/0017629-4;Despacho deferido;1;correto
1020.2022/0017630-8;Despacho deferido;1;correto
1020.2022/0017969-2;Despacho deferido;1;correto
1020.2022/0017968-4;Despacho deferido;1;correto
1020.2022/0017631-6;Despacho deferido;1;correto
1020.2022/0018184-0;Despacho deferido;1;correto
1020.2022/0017967-6;Despacho deferido;1;correto
1020.2022/0017633-2;Despacho deferido;1;correto
