processo;despacho;contagem_dom;contagem_dispatched
1020.2022/0016693-0;deferido;1;correto
1020.2022/0016695-7;deferido;1;correto
1020.2022/0017587-5;deferido;1;correto
1020.2022/0016699-0;deferido;1;correto
1020.2022/0017922-6;deferido;1;correto
1020.2022/0017545-0;deferido;1;correto
1020.2022/0017550-6;deferido;1;correto
1020.2022/0017549-2;deferido;1;correto
1020.2022/0016626-4;deferido;1;correto
1020.2022/0016559-4;deferido;1;correto
1020.2022/0017597-2;deferido;1;correto
1020.2022/0016680-9;deferido;1;correto
1020.2022/0016562-4;deferido;1;correto
1020.2022/0017600-6;deferido;1;correto
1020.2022/0017917-0;deferido;1;correto
1020.2022/0017601-4;deferido;1;correto
1020.2022/0017602-2;deferido;1;correto
1020.2022/0016679-5;deferido;1;correto
1020.2022/0017603-0;deferido;1;correto
1020.2022/0017604-9;deferido;1;correto
1020.2022/0016563-2;deferido;1;correto
1020.2022/0016676-0;deferido;1;correto
1020.2022/0017605-7;deferido;1;correto
1020.2022/0017606-5;deferido;1;correto
1020.2022/0017608-1;deferido;1;correto
1020.2022/0017609-0;deferido;1;correto
1020.2022/0016564-0;deferido;1;correto
1020.2022/0017598-0;deferido;1;correto
1020.2022/0017596-4;deferido;1;correto
1020.2022/0016691-4;deferido;1;correto
1020.2022/0016561-6;deferido;1;correto
1020.2022/0016689-2;deferido;1;correto
1020.2022/0016560-8;deferido;1;correto
1020.2022/0017588-3;deferido;1;correto
1020.2022/0016686-8;deferido;1;correto
1020.2022/0017589-1;deferido;1;correto
1020.2022/0017590-5;deferido;1;correto
1020.2022/0016558-6;deferido;1;correto
1020.2022/0016684-1;deferido;1;correto
1020.2022/0017591-3;deferido;1;correto
1020.2022/0017592-1;deferido;1;correto
1020.2022/0017593-0;deferido;1;correto
1020.2022/0017594-8;deferido;1;correto
1020.2022/0017595-6;deferido;1;correto
1020.2022/0016682-5;deferido;1;correto
1020.2022/0016681-7;deferido;1;correto
1020.2022/0016685-0;deferido;1;correto
1020.2022/0017534-4;deferido;1;correto
1020.2022/0016717-1;deferido;1;correto
1020.2022/0017476-3;deferido;1;correto
1020.2022/0017477-1;deferido;1;correto
1020.2022/0017478-0;deferido;1;correto
1020.2022/0017479-8;deferido;1;correto
1020.2022/0017480-1;deferido;1;correto
1020.2022/0017481-0;deferido;1;correto
1020.2022/0017482-8;deferido;1;correto
1020.2022/0017483-6;deferido;1;correto
1020.2022/0016553-5;deferido;1;correto
1020.2022/0017484-4;deferido;1;correto
1020.2022/0016713-9;deferido;1;correto
1020.2022/0017485-2;deferido;1;correto
1020.2022/0016712-0;deferido;1;correto
1020.2022/0016711-2;deferido;1;correto
1020.2022/0017486-0;deferido;1;correto
1020.2022/0017487-9;deferido;1;correto
1020.2022/0017488-7;deferido;1;correto
1020.2022/0017489-5;deferido;1;correto
1020.2022/0017939-0;deferido;1;correto
1020.2022/0017475-5;deferido;1;correto
1020.2022/0017532-8;deferido;1;correto
1020.2022/0017414-3;deferido;1;correto
1020.2022/0016722-8;deferido;1;correto
1020.2022/0016550-0;deferido;1;correto
1020.2022/0017941-2;deferido;1;correto
1020.2022/0017468-2;deferido;1;correto
1020.2022/0017469-0;deferido;1;correto
1020.2022/0017470-4;deferido;1;correto
1020.2022/0016551-9;deferido;1;correto
1020.2022/0017471-2;deferido;1;correto
1020.2022/0016718-0;deferido;1;correto
1020.2022/0017472-0;deferido;1;correto
1020.2022/0017473-9;deferido;1;correto
1020.2022/0017474-7;deferido;1;correto
1020.2022/0017490-9;deferido;1;correto
1020.2022/0017491-7;deferido;1;correto
1020.2022/0017492-5;deferido;1;correto
1020.2022/0017493-3;deferido;1;correto
1020.2022/0016705-8;deferido;1;correto
1020.2022/0017515-8;deferido;1;correto
1020.2022/0017931-5;deferido;1;correto
1020.2022/0017518-2;deferido;1;correto
1020.2022/0017524-7;deferido;1;correto
1020.2022/0017914-5;deferido;1;correto
1020.2022/0017928-5;deferido;1;correto
1020.2022/0016556-0;deferido;1;correto
1020.2022/0017528-0;deferido;1;correto
1020.2022/0016557-8;deferido;1;correto
1020.2022/0017529-8;deferido;1;correto
1020.2022/0017932-3;deferido;1;correto
