n_protocolo;n_processo;despacho;data_despacho;coord_despacho;data_extracao
30196/2021;1020.2020/0002131-9;Despacho de Deferimento Comum;02/06/2023;GTEC;2024.08.02
30224/2021;1020.2020/0000362-0;Despacho de Deferimento Comum;21/09/2021;GTEC;2024.08.02
30337/2021;1020.2020/0000357-4;Despacho de Deferimento Comum;24/01/2022;GTEC;2024.08.02
30389/2021;1020.2020/0002420-2;Despacho de Indeferimento Comum;12/07/2021;GTEC;2024.08.02
30734/2021;1020.2020/0008621-6;Despacho de Deferimento Comum;01/09/2021;GTEC;2024.08.02
30823/2023;1020.2023/0004255-9;Despacho de Deferimento Comum;20/09/2023;GTEC;2024.08.02
30827/2021;1020.2020/0002358-3;Despacho de Deferimento Comum;16/08/2021;GTEC;2024.08.02
30832/2021;1020.2020/0002711-2;Despacho de Deferimento Comum;16/05/2022;GTEC;2024.08.02
30998/2021;1020.2021/0009424-5;Despacho de Deferimento Comum;13/08/2021;GTEC;2024.08.02
31013/2021;1020.2020/0000589-5;Despacho de Deferimento Comum;12/08/2021;GTEC;2024.08.02
31114/2021;1020.2020/0000624-7;Despacho de Deferimento Comum;30/03/2022;GTEC;2024.08.02
31220/2021;1020.2020/0015694-0;Despacho de Deferimento Comum;01/10/2021;GTEC;2024.08.02
31243/2021;1020.2021/0000839-0;Despacho de Deferimento Comum;05/07/2021;GTEC;2024.08.02
31388/2021;1020.2020/0002019-3;Despacho de Deferimento Comum;17/06/2022;GTEC;2024.08.02
31520/2021;1020.2020/0002708-2;Despacho de Deferimento Comum;14/03/2022;GTEC;2024.08.02
31585/2021;1020.2020/0003527-1;Despacho de Deferimento Comum;05/10/2021;GTEC;2024.08.02
31652/2021;1020.2020/0004011-9;Despacho de Deferimento Comum;23/02/2022;GTEC;2024.08.02
31677/2021;1020.2020/0011014-1;Despacho de Deferimento Comum;14/09/2023;GTEC;2024.08.02
31942/2021;1020.2020/0002503-9;Despacho de Deferimento Comum;11/10/2023;GTEC;2024.08.02
32040/2021;1020.2020/0002368-0;Despacho de Deferimento Comum;13/07/2021;GTEC;2024.08.02
32073/2021;1020.2020/0001274-3;Despacho de Deferimento Comum;17/12/2021;GTEC;2024.08.02
32103/2021;1020.2020/0000474-0;Despacho de Deferimento Comum;13/01/2022;GTEC;2024.08.02
32105/2021;1020.2020/0000482-1;Despacho de Deferimento Comum;11/01/2022;GTEC;2024.08.02
32107/2021;1020.2020/0000110-5;Despacho de Indeferimento Comum;11/11/2021;GTEC;2024.08.02
3213/2022;1020.2020/0015244-8;Despacho de Deferimento Comum;25/05/2022;GTEC;2024.08.02
32230/2023;1020.2022/0022294-6;Despacho de Deferimento Comum;28/09/2023;GTEC;2024.08.02
32243/2021;1020.2020/0003044-0;Despacho de Deferimento Comum;11/11/2022;GTEC;2024.08.02
32250/2021;1020.2020/0000585-2;Despacho de Deferimento Comum;09/09/2021;GTEC;2024.08.02
32256/2021;1020.2020/0001581-5;Despacho de Indeferimento Comum;23/12/2021;GTEC;2024.08.02
32448/2021;1020.2020/0000679-4;Despacho de Indeferimento Comum;06/12/2021;GTEC;2024.08.02
