dt_abertura,n_processos,n_protocolo,assunto,aditivo,tipo_requerimento,competencia,unidade,status
2013-01-18 13:58:13,2013-0.016.767-6,496-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2013-01-18 13:58:24,2013-0.016.769-2,291-13,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Indeferido
2013-01-18 14:00:30,2013-0.016.777-3,495-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2013-01-23 11:59:44,2013-0.021.641-3,1274-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2013-02-04 10:28:23,2013-0.032.624-3,1626-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Indeferido
2013-02-04 10:34:01,2013-0.032.656-1,1297-13,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Indeferido
2013-02-04 10:53:02,2013-0.032.766-5,437-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2013-02-04 14:48:58,2013-0.033.666-4,1318-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2013-02-05 12:01:13,2013-0.035.044-6,1166-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2013-02-07 12:04:46,2013-0.038.597-5,2116-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Indeferido
2013-02-07 12:15:32,2013-0.038.669-6,1481-13,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Indeferido
2013-02-07 13:39:23,2013-0.038.946-6,2310-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2013-02-08 11:43:45,2013-0.040.083-4,2455-13,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Indeferido
2013-02-08 11:48:51,2013-0.040.103-2,2313-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2013-02-14 09:51:53,2013-0.041.820-2,1422-13,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Indeferido
2013-02-14 12:05:23,2013-0.042.330-3,2349-13,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Indeferido
2013-02-15 09:36:51,2013-0.043.330-9,2164-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2013-02-15 12:03:47,2013-0.043.794-0,2174-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2013-02-20 12:01:51,2013-0.048.727-1,2793-13,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Indeferido
2013-02-27 11:24:31,2013-0.056.625-2,3197-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2013-02-27 11:29:17,2013-0.056.647-3,3140-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2013-02-27 11:33:25,2013-0.056.664-3,2671-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2013-02-27 11:36:21,2013-0.056.676-7,2726-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2013-02-27 11:38:44,2013-0.056.681-3,2415-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2013-02-27 11:46:50,2013-0.056.710-0,3596-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2013-02-27 11:53:28,2013-0.056.741-0,3662-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2013-02-27 11:59:31,2013-0.056.766-6,3636-13,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Indeferido
2013-02-28 07:41:00,2013-0.057.823-4,2890-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2013-02-28 12:01:29,2013-0.058.487-0,3532-13,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Indeferido
2013-03-05 08:10:07,2013-0.062.573-9,3762-13,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Indeferido
2013-03-05 08:18:11,2013-0.062.578-0,3749-13,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Indeferido
2013-03-05 08:20:31,2013-0.062.580-1,3879-13,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Indeferido
2013-03-05 08:23:26,2013-0.062.582-8,3741-13,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Indeferido
2013-03-05 08:25:13,2013-0.062.585-2,3967-13,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Indeferido
2013-03-05 08:27:21,2013-0.062.589-5,3632-13,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Indeferido
2013-03-05 08:33:07,2013-0.062.605-0,3988-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2013-03-05 08:40:17,2013-0.062.619-0,3388-13,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Indeferido
2013-03-05 08:41:38,2013-0.062.624-7,2721-13,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Indeferido
2013-03-05 12:02:50,2013-0.063.103-8,3535-13,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Indeferido
2013-03-05 12:07:48,2013-0.063.149-6,3708-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2013-03-05 12:10:18,2013-0.063.177-1,3526-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2013-03-12 09:59:37,2013-0.069.986-4,3650-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2013-03-12 10:14:52,2013-0.070.032-3,4713-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2013-03-16 12:03:27,2013-0.075.784-8,4792-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2013-03-18 16:15:18,2013-0.076.922-6,1447-13,Alvará de Desdobro de Lote,Inicial,Inicial,SMUL,PARHIS-G,Em Análise
2013-03-19 11:27:11,2013-0.077.600-1,3509-13,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Indeferido
2013-03-19 11:54:34,2013-0.077.699-0,3633-13,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Indeferido
2013-03-19 11:58:14,2013-0.077.726-1,3690-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Indeferido
2013-03-19 12:15:36,2013-0.077.777-6,3744-13,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Indeferido
2013-03-19 14:19:26,2013-0.078.123-4,3858-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2013-03-19 15:17:10,2013-0.078.367-9,4131-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2013-03-19 15:22:44,2013-0.078.414-4,4225-13,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Indeferido
2013-03-19 15:24:31,2013-0.078.429-2,6807-12,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2013-03-21 11:50:10,2013-0.081.093-5,4462-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2013-03-21 11:50:41,2013-0.081.095-1,5151-13,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Indeferido
2013-03-22 15:18:26,2013-0.083.371-4,5326-13,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Indeferido
2013-03-27 14:04:20,2013-0.086.492-0,3767-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Indeferido
2013-03-27 16:48:13,2013-0.087.509-3,3502-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2013-03-27 16:49:20,2013-0.087.516-6,5202-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2013-03-27 16:51:05,2013-0.087.527-1,5108-13,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Indeferido
2013-03-27 16:52:04,2013-0.087.531-0,5526-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2013-03-27 16:58:54,2013-0.087.563-8,4896-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2013-03-27 16:59:41,2013-0.087.568-9,5630-13,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Indeferido
2013-03-27 17:01:22,2013-0.087.576-0,5677-13,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Indeferido
2013-03-27 17:09:10,2013-0.087.606-5,4121-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Em Análise
2013-03-27 17:34:06,2013-0.087.662-6,3765-13,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Indeferido
2013-04-02 10:17:24,2013-0.092.131-1,4720-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Indeferido
2013-04-02 10:56:01,2013-0.092.219-9,6165-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2013-04-02 11:01:36,2013-0.092.229-6,6007-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2013-04-03 09:30:47,2013-0.093.412-0,5483-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2013-04-03 09:50:25,2013-0.093.545-2,4845-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2013-04-03 09:53:02,2013-0.093.561-4,5322-13,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Indeferido
2013-04-03 11:22:16,2013-0.093.968-7,4412-13,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Indeferido
2013-04-03 11:45:53,2013-0.094.064-2,4730-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Indeferido
2013-04-03 11:51:06,2013-0.094.087-1,4735-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Indeferido
2013-04-03 11:51:09,2013-0.094.089-8,4738-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Indeferido
2013-04-03 11:51:26,2013-0.094.091-0,4739-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Indeferido
2013-04-03 11:52:34,2013-0.094.103-7,6334-13,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Indeferido
2013-04-03 12:07:12,2013-0.094.201-7,5496-13,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Indeferido
2013-04-03 17:25:15,2013-0.095.261-6,3437-13,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,PARHIS-G,Processo Físico
2013-04-03 17:37:36,2013-0.095.267-5,1712-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,PARHIS-G,Em Análise
