dt_abertura,n_processos,n_protocolo,assunto,aditivo,tipo_requerimento,competencia,unidade,status
2013-11-12 12:09:05,2013-0.336.410-3,24615-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Indeferido
2013-11-13 14:05:39,2013-0.338.324-8,14501-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Indeferido
2013-12-07 12:01:26,2013-0.361.266-2,24874-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Em Análise
2013-12-11 10:22:42,2013-0.364.363-0,24774-13,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Indeferido
2014-02-03 16:09:16,2014-0.032.176-6,642-14,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Indeferido
2014-02-06 17:49:18,2014-0.037.346-4,1420-14,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Em Análise
2014-02-10 08:35:30,2014-0.038.955-7,1782-14,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,SERVIN,Em Análise
2014-02-10 08:38:04,2014-0.038.966-2,1791-14,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,SERVIN,Em Análise
2014-02-20 10:37:39,2014-0.051.754-7,3470-14,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,SERVIN,Em Análise
2014-02-20 10:38:42,2014-0.051.761-0,3251-14,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2014-02-20 11:13:43,2014-0.051.940-0,3457-14,Alvará de Execução de Reforma,Inicial,Inicial,SMUL,SERVIN,Em Análise
2014-02-21 12:16:01,2014-0.053.867-6,3568-14,Alvará de Execução de Reforma,Inicial,Inicial,SMUL,SERVIN,Em Análise
2014-02-25 12:22:52,2014-0.056.752-8,2348-14,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2014-03-01 12:13:14,2014-0.062.483-1,4905-14,Alvará de Execução de Reforma,Inicial,Inicial,SMUL,SERVIN,Em Análise
2014-03-11 12:14:00,2014-0.068.125-8,5131-14,Alvará de Execução de Reforma,Inicial,Inicial,SMUL,SERVIN,Indeferido
2014-03-25 10:31:42,2014-0.082.925-5,7407-14,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Indeferido
2014-04-04 12:01:15,2014-0.097.191-4,8598-14,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Indeferido
2014-04-04 12:01:42,2014-0.097.197-3,8616-14,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Indeferido
2014-04-09 12:04:48,2014-0.101.976-1,8822-14,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,SERVIN,Indeferido
2014-04-16 12:01:44,2014-0.109.515-8,9644-14,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,SERVIN,Processo Físico
2014-04-16 12:02:43,2014-0.109.531-0,9488-14,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,SERVIN,Em Análise
2014-05-14 12:09:42,2014-0.135.016-6,12462-14,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,SERVIN,Em Análise
2014-05-15 12:10:09,2014-0.136.643-7,11266-14,Alvará de Execução de Reforma,Inicial,Inicial,SMUL,SERVIN,Em Análise
2014-05-16 12:32:09,2014-0.138.229-7,12903-14,Alvará de Execução de Reforma,Inicial,Inicial,SMUL,SERVIN,Indeferido
2014-05-30 12:06:38,2014-0.152.286-2,14272-14,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,SERVIN,Em Análise
2014-06-03 12:06:08,2014-0.155.335-0,13876-14,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Em Análise
2014-06-06 12:01:23,2014-0.159.670-0,14301-14,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,SERVIN,Indeferido
2014-06-11 12:17:31,2014-0.163.946-8,15287-14,Alvará de Execução de Reforma,Inicial,Inicial,SMUL,SERVIN,Em Análise
2014-07-08 12:32:57,2014-0.186.221-3,17926-14,Alvará de Execução de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Em Análise
2014-07-10 12:01:15,2014-0.186.931-5,17687-14,Alvará de Aprovação de Edificação Nova,Inicial,Inicial,SMUL,SERVIN,Em Análise
2014-07-15 12:01:23,2014-0.191.232-6,18227-14,Alvará de Aprovação de Reforma,Inicial,Inicial,SMUL,SERVIN,Em Análise
