n_protocolo;n_processo;despacho;data_despacho;coord_despacho;data_extracao
28409/2021;1020.2020/0001275-1;Despacho de Deferimento Comum;21/01/2022;GTEC;2023.08.04
28419/2021;1020.2020/0000971-8;Despacho de Indeferimento Comum;11/11/2021;GTEC;2023.08.04
2856/2021;1020.2020/0001016-3;Despacho de Indeferimento Comum;08/01/2022;GTEC;2023.08.04
28587/2021;1020.2020/0006200-7;Despacho de Deferimento Comum;26/01/2022;GTEC;2023.08.04
28602/2021;1020.2020/0001992-6;Despacho de Indeferimento Comum;29/12/2021;GTEC;2023.08.04
28621/2022;1020.2022/0009986-9;Despacho de Deferimento Comum;07/06/2022;GTEC;2023.08.04
28644/2021;1020.2020/0004062-3;Despacho de Deferimento Comum;07/07/2021;GTEC;2023.08.04
28660/2021;1020.2020/0006925-7;Despacho de Deferimento Comum;27/12/2021;GTEC;2023.08.04
28905/2021;1020.2020/0004453-0;Despacho de Deferimento Comum;29/12/2021;GTEC;2023.08.04
2899/2021;1020.2020/0000944-0;Despacho de Deferimento Comum;30/04/2021;GTEC;2023.08.04
29048/2021;1020.2020/0003478-0;Despacho de Deferimento Comum;01/09/2021;GTEC;2023.08.04
2935/2022;1020.2020/0003812-2;Despacho de Deferimento Comum;04/03/2022;GTEC;2023.08.04
29375/2021;1020.2020/0001655-2;Despacho de Deferimento Comum;05/08/2021;GTEC;2023.08.04
2950/2021;1020.2020/0001893-8;Despacho de Deferimento Comum;18/06/2021;GTEC;2023.08.04
29523/2021;1020.2020/0002047-9;Despacho de Deferimento Comum;25/08/2021;GTEC;2023.08.04
29613/2021;1020.2020/0003484-4;Despacho de Deferimento Comum;28/09/2022;GTEC;2023.08.04
29716/2021;1020.2020/0008330-6;Despacho de Deferimento Comum;06/06/2022;GTEC;2023.08.04
2973/2021;1020.2020/0011729-4;Despacho de Deferimento Comum;13/02/2021;GTEC;2023.08.04
29840/2021;1020.2020/0007226-6;Despacho de Deferimento Comum;30/08/2021;GTEC;2023.08.04
29846/2021;1020.2020/0001977-2;Despacho de Deferimento Comum;08/09/2021;GTEC;2023.08.04
30022/2021;1020.2021/0008503-3;Despacho de Deferimento Comum;29/06/2021;GTEC;2023.08.04
30071/2021;1020.2020/0000422-8;Despacho de Deferimento Comum;29/06/2022;GTEC;2023.08.04
30196/2021;1020.2020/0002131-9;Despacho de Deferimento Comum;02/06/2023;GTEC;2023.08.04
30224/2021;1020.2020/0000362-0;Despacho de Deferimento Comum;21/09/2021;GTEC;2023.08.04
30337/2021;1020.2020/0000357-4;Despacho de Deferimento Comum;24/01/2022;GTEC;2023.08.04
30389/2021;1020.2020/0002420-2;Despacho de Indeferimento Comum;12/07/2021;GTEC;2023.08.04
30734/2021;1020.2020/0008621-6;Despacho de Deferimento Comum;01/09/2021;GTEC;2023.08.04
30827/2021;1020.2020/0002358-3;Despacho de Deferimento Comum;16/08/2021;GTEC;2023.08.04
30832/2021;1020.2020/0002711-2;Despacho de Deferimento Comum;16/05/2022;GTEC;2023.08.04
30998/2021;1020.2021/0009424-5;Despacho de Deferimento Comum;13/08/2021;GTEC;2023.08.04
31013/2021;1020.2020/0000589-5;Despacho de Deferimento Comum;12/08/2021;GTEC;2023.08.04
31114/2021;1020.2020/0000624-7;Despacho de Deferimento Comum;30/03/2022;GTEC;2023.08.04
31220/2021;1020.2020/0015694-0;Despacho de Deferimento Comum;01/10/2021;GTEC;2023.08.04
31243/2021;1020.2021/0000839-0;Despacho de Deferimento Comum;05/07/2021;GTEC;2023.08.04
31388/2021;1020.2020/0002019-3;Despacho de Deferimento Comum;17/06/2022;GTEC;2023.08.04
31520/2021;1020.2020/0002708-2;Despacho de Deferimento Comum;14/03/2022;GTEC;2023.08.04
31585/2021;1020.2020/0003527-1;Despacho de Deferimento Comum;05/10/2021;GTEC;2023.08.04
31652/2021;1020.2020/0004011-9;Despacho de Deferimento Comum;23/02/2022;GTEC;2023.08.04
32040/2021;1020.2020/0002368-0;Despacho de Deferimento Comum;13/07/2021;GTEC;2023.08.04
