n_protocolo;n_processo;data_comuniquese;coord_comuniquese;data_extracao
28948/2021;1020.2020/0001265-4;17/05/2024;GTEC;2024.08.02
2911/2021;1020.2021/0002350-0;03/07/2024;GTEC;2024.08.02
2911/2021;1020.2021/0002350-0;05/06/2024;GTEC;2024.08.02
29269/2020;1020.2020/0000853-3;10/04/2023;GTEC;2024.08.02
29269/2020;1020.2020/0000853-3;14/06/2023;GTEC;2024.08.02
29269/2020;1020.2020/0000853-3;15/02/2023;GTEC;2024.08.02
2930/2021;1020.2021/0007229-2;20/05/2024;GTEC;2024.08.02
29333/2021;1020.2021/0009571-3;17/03/2023;GTEC;2024.08.02
29975/2021;1020.2021/0008949-7;13/11/2023;GTEC;2024.08.02
30036/2021;1020.2021/0009496-2;14/09/2023;GTEC;2024.08.02
30408/2021;1020.2021/0009116-5;07/06/2024;GTEC;2024.08.02
30503/2021;1020.2021/0014199-5;15/04/2024;GTEC;2024.08.02
3101/2022;1020.2020/0002328-1;08/05/2024;GTEC;2024.08.02
3101/2022;1020.2020/0002328-1;13/03/2024;GTEC;2024.08.02
31323/2021;1020.2021/0011101-8;09/11/2022;GTEC;2024.08.02
31379/2021;1020.2021/0011099-2;20/05/2024;GTEC;2024.08.02
31535/2023;1020.2021/0011054-2;17/05/2024;GTEC;2024.08.02
31967/2021;1020.2021/0009536-5;07/06/2024;GTEC;2024.08.02
320/2022;1020.2020/0002677-9;15/05/2024;GTEC;2024.08.02
320/2022;1020.2020/0002677-9;23/02/2024;GTEC;2024.08.02
32589/2020;1020.2020/0005756-9;17/10/2022;GTEC;2024.08.02
32589/2020;1020.2020/0005756-9;22/11/2022;GTEC;2024.08.02
32639/2020;1020.2020/0007346-7;02/12/2022;GTEC;2024.08.02
32817/2023;1020.2021/0011750-4;07/03/2024;GTEC;2024.08.02
32957/2022;1020.2022/0011886-3;14/04/2023;GTEC;2024.08.02
32957/2022;1020.2022/0011886-3;24/05/2023;GTEC;2024.08.02
32993/2022;1020.2022/0011786-7;15/05/2024;GTEC;2024.08.02
32993/2022;1020.2022/0011786-7;27/03/2024;GTEC;2024.08.02
33280/2022;1020.2020/0003685-5;28/03/2024;GTEC;2024.08.02
33924/2022;1020.2020/0003218-3;11/05/2023;GTEC;2024.08.02
33924/2022;1020.2020/0003218-3;17/02/2023;GTEC;2024.08.02
33981/2021;1020.2021/0011100-0;05/06/2024;GTEC;2024.08.02
34014/2021;1020.2021/0012072-6;07/06/2024;GTEC;2024.08.02
34256/2020;1020.2020/0012380-4;27/01/2023;GTEC;2024.08.02
34326/2021;1020.2021/0010922-6;24/04/2023;GTEC;2024.08.02
34958/2022;1020.2022/0018535-8;19/12/2023;GTEC;2024.08.02
34958/2022;1020.2022/0018535-8;21/11/2023;GTEC;2024.08.02
35117/2020;1020.2020/0005909-0;17/10/2022;GTEC;2024.08.02
35235/2021;1020.2021/0011750-4;07/06/2023;GTEC;2024.08.02
35235/2021;1020.2021/0011750-4;26/01/2023;GTEC;2024.08.02
3596/2021;1020.2021/0007259-4;07/03/2023;GTEC;2024.08.02
3596/2021;1020.2021/0007259-4;14/11/2022;GTEC;2024.08.02
36127/2021;1020.2021/0015885-5;16/08/2023;GTEC;2024.08.02
36162/2020;1020.2020/0003811-4;22/04/2024;GTEC;2024.08.02
36194/2023;1020.2022/0001904-0;27/06/2024;GTEC;2024.08.02
36219/2022;1020.2022/0014424-4;04/09/2023;GTEC;2024.08.02
36219/2022;1020.2022/0014424-4;27/11/2023;GTEC;2024.08.02
36337/2021;1020.2021/0011054-2;31/05/2023;GTEC;2024.08.02
36366/2021;1020.2021/0010923-4;27/01/2023;GTEC;2024.08.02
36589/2021;1020.2020/0003815-7;22/05/2023;GTEC;2024.08.02
36589/2021;1020.2020/0003815-7;24/03/2023;GTEC;2024.08.02
36636/2020;1020.2020/0012751-6;09/05/2024;GTEC;2024.08.02
36636/2020;1020.2020/0012751-6;14/03/2024;GTEC;2024.08.02
36702/2021;1020.2020/0003813-0;14/04/2023;GTEC;2024.08.02
36702/2021;1020.2020/0003813-0;22/05/2023;GTEC;2024.08.02
36702/2021;1020.2020/0003813-0;29/03/2023;GTEC;2024.08.02
36841/2021;1020.2021/0011943-4;29/05/2023;GTEC;2024.08.02
36856/2021;1020.2020/0004646-0;14/06/2023;GTEC;2024.08.02
36856/2021;1020.2020/0004646-0;18/09/2023;GTEC;2024.08.02
36856/2021;1020.2020/0004646-0;19/04/2023;GTEC;2024.08.02
37225/2020;1020.2020/0005386-5;05/12/2022;GTEC;2024.08.02
37547/2022;1020.2022/0021657-1;06/05/2024;GTEC;2024.08.02
37666/2021;1020.2020/0004643-5;02/05/2023;GTEC;2024.08.02
38535/2021;1020.2020/0004799-7;27/04/2023;GTEC;2024.08.02
38648/2021;1020.2020/0003412-7;31/03/2023;GTEC;2024.08.02
38680/2020;1020.2020/0002685-0;20/01/2023;GTEC;2024.08.02
39026/2020;1020.2020/0006804-8;26/10/2022;GTEC;2024.08.02
39026/2020;1020.2020/0006804-8;30/01/2023;GTEC;2024.08.02
39131/2023;1020.2022/0003034-6;19/01/2024;GTEC;2024.08.02
39171/2021;1020.2021/0013344-5;09/02/2024;GTEC;2024.08.02
39319/2021;1020.2021/0012571-0;08/11/2022;GTEC;2024.08.02
39319/2021;1020.2021/0012571-0;24/11/2022;GTEC;2024.08.02
39371/2021;1020.2020/0004262-6;19/04/2023;GTEC;2024.08.02
39600/2020;1020.2020/0009121-0;01/06/2023;GTEC;2024.08.02
39945/2020;1020.2020/0002664-7;06/12/2022;GTEC;2024.08.02
39945/2020;1020.2020/0002664-7;10/02/2023;GTEC;2024.08.02
39956/2021;1020.2021/0012969-3;17/03/2023;GTEC;2024.08.02
39956/2021;1020.2021/0012969-3;25/05/2023;GTEC;2024.08.02
40639/2020;1020.2020/0005016-5;24/02/2023;GTEC;2024.08.02
40646/2020;1020.2020/0005907-3;17/10/2022;GTEC;2024.08.02
40646/2020;1020.2020/0005907-3;25/11/2022;GTEC;2024.08.02
41188/2022;1020.2022/0015738-9;08/11/2022;GTEC;2024.08.02
41266/2020;1020.2020/0005758-5;13/01/2023;GTEC;2024.08.02
41272/2021;1020.2021/0012980-4;27/05/2024;GTEC;2024.08.02
4150/2023;1020.2020/0005905-7;06/05/2024;GTEC;2024.08.02
41520/2022;1020.2020/0005716-0;19/02/2024;GTEC;2024.08.02
41890/2021;1020.2020/0001185-2;03/03/2023;GTEC;2024.08.02
41890/2021;1020.2020/0001185-2;18/05/2023;GTEC;2024.08.02
41968/2021;1020.2021/0012662-7;17/05/2024;GTEC;2024.08.02
42232/2021;1020.2020/0005051-3;13/11/2023;GTEC;2024.08.02
42232/2021;1020.2020/0005051-3;27/10/2023;GTEC;2024.08.02
42232/2021;1020.2020/0005051-3;31/03/2023;GTEC;2024.08.02
42297/2020;1020.2020/0006184-1;21/10/2022;GTEC;2024.08.02
42306/2020;1020.2020/0005915-4;21/10/2022;GTEC;2024.08.02
42675/2020;1020.2020/0003692-8;19/01/2023;GTEC;2024.08.02
42675/2020;1020.2020/0003692-8;21/11/2022;GTEC;2024.08.02
42954/2021;1020.2021/0013354-2;05/10/2023;GTEC;2024.08.02
42954/2021;1020.2021/0013354-2;18/03/2024;GTEC;2024.08.02
42977/2023;1020.2024/0000019-0;09/04/2024;GTEC;2024.08.02
43128/2020;1020.2020/0006824-2;04/11/2022;GTEC;2024.08.02
43356/2021;1020.2020/0000121-0;12/12/2022;GTEC;2024.08.02
43395/2020;1020.2020/0006186-8;27/10/2022;GTEC;2024.08.02
43417/2021;1020.2021/0013905-2;21/03/2023;GTEC;2024.08.02
43562/2020;1020.2020/0006182-5;07/06/2023;GTEC;2024.08.02
43562/2020;1020.2020/0006182-5;14/08/2023;GTEC;2024.08.02
43562/2020;1020.2020/0006182-5;25/10/2022;GTEC;2024.08.02
43661/2020;1020.2020/0005006-8;05/10/2023;GTEC;2024.08.02
43868/2020;1020.2020/0004688-5;01/06/2023;GTEC;2024.08.02
43868/2020;1020.2020/0004688-5;23/01/2024;GTEC;2024.08.02
44424/2021;1020.2020/0002756-2;09/10/2023;GTEC;2024.08.02
