n_protocolo;n_processo;despacho;data_despacho;coord_despacho;data_extracao
32818/2021;1020.2020/0007532-0;Despacho de Deferimento Comum;27/07/2022;GTEC;2024.06.03
32921/2021;1020.2021/0009946-8;Despacho de Indeferimento Comum;13/09/2021;GTEC;2024.06.03
32978/2021;1020.2020/0003655-3;Despacho de Indeferimento Comum;27/12/2021;GTEC;2024.06.03
32996/2021;1020.2020/0002883-6;Despacho de Indeferimento Comum;24/09/2021;GTEC;2024.06.03
33007/2021;1020.2020/0001066-0;Despacho de Deferimento Comum;31/01/2022;GTEC;2024.06.03
33134/2021;1020.2020/0002421-0;Despacho de Indeferimento Comum;17/12/2021;GTEC;2024.06.03
33147/2021;1020.2020/0000709-0;Despacho de Deferimento Comum;30/09/2021;GTEC;2024.06.03
3320/2022;1020.2020/0002005-3;Despacho de Indeferimento Comum;10/03/2022;GTEC;2024.06.03
33218/2021;1020.2021/0009727-9;Despacho de Deferimento Comum;08/11/2021;GTEC;2024.06.03
33272/2021;1020.2020/0002418-0;Despacho de Indeferimento Comum;17/12/2021;GTEC;2024.06.03
33350/2021;1020.2020/0000311-6;Despacho de Indeferimento Comum;06/12/2021;GTEC;2024.06.03
33392/2021;1020.2020/0007132-4;Despacho de Deferimento Comum;10/01/2022;GTEC;2024.06.03
33414/2021;1020.2020/0002318-4;Despacho de Deferimento Comum;26/08/2021;GTEC;2024.06.03
3348/2021;1020.2020/0001005-8;Despacho de Indeferimento Comum;29/06/2021;GTEC;2024.06.03
33539/2023;1020.2022/0009245-7;Despacho de Deferimento Comum;20/09/2023;GTEC;2024.06.03
33545/2023;1020.2022/0009273-2;Despacho de Deferimento Comum;22/09/2023;GTEC;2024.06.03
33900/2021;1020.2020/0003870-0;Despacho de Indeferimento Comum;12/08/2021;GTEC;2024.06.03
33924/2021;1020.2020/0007914-7;Despacho de Deferimento Comum;10/09/2021;GTEC;2024.06.03
33924/2021;1020.2020/0007914-7;Despacho de Deferimento Comum;22/09/2021;GTEC;2024.06.03
34196/2021;1020.2021/0010084-9;Despacho de Indeferimento Comum;06/06/2022;GTEC;2024.06.03
34360/2021;1020.2020/0011753-7;Despacho de Deferimento Comum;11/08/2021;GTEC;2024.06.03
34394/2021;1020.2020/0000599-2;Despacho de Indeferimento Comum;21/03/2022;GTEC;2024.06.03
34456/2021;1020.2020/0001428-2;Despacho de Deferimento Comum;01/12/2021;GTEC;2024.06.03
34620/2021;1020.2020/0000013-3;Despacho de Deferimento Comum;21/07/2022;GTEC;2024.06.03
34622/2021;1020.2020/0001264-6;Despacho de Deferimento Comum;17/12/2021;GTEC;2024.06.03
34755/2021;1020.2020/0008924-0;Despacho de Deferimento Comum;07/01/2022;GTEC;2024.06.03
34806/2021;1020.2020/0002160-2;Despacho de Deferimento Comum;19/01/2022;GTEC;2024.06.03
34835/2021;1020.2020/0001240-9;Despacho de Deferimento Comum;29/03/2023;GTEC;2024.06.03
3484/2022;1020.2020/0002698-1;Despacho de Deferimento Comum;04/03/2022;GTEC;2024.06.03
34849/2021;1020.2020/0002234-0;Despacho de Deferimento Comum;14/01/2022;GTEC;2024.06.03
3488/2022;1020.2022/0000948-7;Despacho de Indeferimento Comum;09/02/2022;GTEC;2024.06.03
34905/2021;1020.2020/0000442-2;Despacho de Indeferimento Comum;17/12/2021;GTEC;2024.06.03
34945/2021;1020.2020/0007042-5;Despacho de Deferimento Comum;18/01/2022;GTEC;2024.06.03
35239/2021;1020.2020/0011427-9;Despacho de Deferimento Comum;07/06/2022;GTEC;2024.06.03
35343/2023;1020.2020/0004587-0;Despacho de Deferimento Comum;12/09/2023;GTEC;2024.06.03
35424/2021;1020.2020/0002460-1;Despacho de Deferimento Comum;02/02/2022;GTEC;2024.06.03
35518/2021;1020.2020/0003216-7;Despacho de Deferimento Comum;14/09/2022;GTEC;2024.06.03
3554/2022;1020.2020/0007842-6;Despacho de Indeferimento Comum;10/03/2022;GTEC;2024.06.03
3564/2022;1020.2020/0000064-8;Despacho de Indeferimento Comum;12/04/2022;GTEC;2024.06.03
35981/2021;1020.2021/0011331-2;Despacho de Indeferimento Comum;27/12/2021;GTEC;2024.06.03
36206/2021;1020.2020/0003200-0;Despacho de Deferimento Comum;11/04/2022;GTEC;2024.06.03
3626/2021;1020.2020/0009005-1;Despacho de Deferimento Comum;21/09/2021;GTEC;2024.06.03
36344/2021;1020.2020/0015316-9;Despacho de Deferimento Comum;05/11/2021;GTEC;2024.06.03
36389/2021;1020.2020/0004767-9;Despacho de Deferimento Comum;13/09/2021;GTEC;2024.06.03
36407/2021;1020.2021/0010947-1;Despacho de Indeferimento Comum;27/12/2021;GTEC;2024.06.03
36413/2021;1020.2020/0015522-6;Despacho de Deferimento Comum;13/01/2022;GTEC;2024.06.03
36507/2023;1020.2022/0021110-3;Despacho de Deferimento Comum;24/10/2023;GTEC;2024.06.03
36511/2021;1020.2020/0000663-8;Despacho de Indeferimento Comum;05/01/2022;GTEC;2024.06.03
36533/2021;1020.2020/0005900-6;Despacho de Deferimento Comum;23/11/2021;GTEC;2024.06.03
36568/2021;1020.2020/0011143-1;Despacho de Deferimento Comum;19/10/2021;GTEC;2024.06.03
36590/2021;1020.2020/0002502-0;Despacho de Deferimento Comum;06/06/2022;GTEC;2024.06.03
36617/2021;1020.2020/0003863-7;Despacho de Deferimento Comum;30/12/2021;GTEC;2024.06.03
36627/2021;1020.2020/0001424-0;Despacho de Deferimento Comum;01/04/2022;GTEC;2024.06.03
36630/2021;1020.2020/0003135-7;Despacho de Deferimento Comum;03/06/2022;GTEC;2024.06.03
36641/2021;1020.2020/0001503-3;Despacho de Indeferimento Comum;13/01/2022;GTEC;2024.06.03
36732/2021;1020.2020/0001230-1;Despacho de Indeferimento Comum;18/10/2021;GTEC;2024.06.03
36735/2021;1020.2020/0013648-5;Despacho de Deferimento Comum;04/03/2022;GTEC;2024.06.03
36822/2021;1020.2021/0002169-8;Despacho de Deferimento Comum;14/03/2022;GTEC;2024.06.03
36866/2021;1020.2020/0013151-3;Despacho de Deferimento Comum;27/12/2021;GTEC;2024.06.03
36876/2021;1020.2020/0001636-6;Despacho de Indeferimento Comum;27/12/2021;GTEC;2024.06.03
36962/2021;1020.2020/0003451-8;Despacho de Indeferimento Comum;21/03/2022;GTEC;2024.06.03
37146/2021;1020.2021/0003490-0;Despacho de Deferimento Comum;13/08/2021;GTEC;2024.06.03
37211/2021;1020.2020/0002270-6;Despacho de Deferimento Comum;14/03/2022;GTEC;2024.06.03
37497/2021;1020.2020/0002253-6;Despacho de Deferimento Comum;13/01/2022;GTEC;2024.06.03
37528/2021;1020.2020/0002264-1;Despacho de Deferimento Comum;17/03/2023;GTEC;2024.06.03
37580/2021;1020.2020/0002653-1;Despacho de Deferimento Comum;13/01/2022;GTEC;2024.06.03
37586/2021;1020.2020/0005470-5;Despacho de Deferimento Comum;13/01/2022;GTEC;2024.06.03
37607/2023;1020.2020/0014833-5;Despacho de Deferimento Comum;15/01/2024;GTEC;2024.06.03
37839/2021;1020.2020/0004141-7;Despacho de Deferimento Comum;21/12/2021;GTEC;2024.06.03
3803/2021;1020.2020/0013399-0;Despacho de Deferimento Comum;18/02/2021;GTEC;2024.06.03
38086/2021;1020.2020/0012512-2;Despacho de Indeferimento Comum;29/10/2021;GTEC;2024.06.03
38131/2021;1020.2020/0003627-8;Despacho de Deferimento Comum;10/08/2022;GTEC;2024.06.03
38148/2021;1020.2020/0005719-4;Despacho de Deferimento Comum;20/01/2022;GTEC;2024.06.03
38221/2022;1020.2020/0003280-9;Despacho de Deferimento Comum;03/10/2023;GTEC;2024.06.03
38245/2021;1020.2020/0001734-6;Despacho de Deferimento Comum;04/02/2022;GTEC;2024.06.03
38444/2021;1020.2021/0011761-0;Despacho de Indeferimento Comum;22/11/2021;GTEC;2024.06.03
38478/2021;1020.2020/0002266-8;Despacho de Deferimento Comum;18/01/2022;GTEC;2024.06.03
3869/2021;1020.2020/0002817-8;Despacho de Indeferimento Comum;11/11/2021;GTEC;2024.06.03
38714/2021;1020.2020/0002647-7;Despacho de Deferimento Comum;06/12/2021;GTEC;2024.06.03
38886/2021;1020.2020/0000963-7;Despacho de Deferimento Comum;06/06/2023;GTEC;2024.06.03
38950/2021;1020.2020/0001602-1;Despacho de Deferimento Comum;14/06/2022;GTEC;2024.06.03
39272/2021;1020.2020/0003757-6;Despacho de Deferimento Comum;14/01/2022;GTEC;2024.06.03
39300/2021;1020.2020/0011952-1;Despacho de Deferimento Comum;13/02/2023;GTEC;2024.06.03
39379/2021;1020.2020/0000835-5;Despacho de Indeferimento Comum;10/03/2022;GTEC;2024.06.03
39662/2021;1020.2020/0011614-0;Despacho de Deferimento Comum;09/12/2021;GTEC;2024.06.03
39679/2021;1020.2020/0007424-2;Despacho de Deferimento Comum;18/01/2022;GTEC;2024.06.03
39739/2023;1020.2023/0020137-1;Despacho de Deferimento Comum;24/10/2023;GTEC;2024.06.03
39913/2021;1020.2020/0000656-5;Despacho de Deferimento Comum;15/03/2023;GTEC;2024.06.03
39938/2021;1020.2020/0001772-9;Despacho de Deferimento Comum;04/03/2022;GTEC;2024.06.03
40032/2021;1020.2020/0002277-3;Despacho de Deferimento Comum;18/10/2021;GTEC;2024.06.03
