dt_autuacao,n_processos,assunto,unidade,status
23/08/2023,1020.2023/0016548-0,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
23/08/2023,1020.2023/0016554-5,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
23/08/2023,1020.2023/0016556-1,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
23/08/2023,1020.2023/0016558-8,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
24/08/2023,1020.2023/0016681-9,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
28/08/2023,1020.2023/0016938-9,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
30/08/2023,1020.2023/0017170-7,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
01/09/2023,1020.2023/0017370-0,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
01/09/2023,1020.2023/0017373-4,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
01/09/2023,1020.2023/0017379-3,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
05/09/2023,1020.2023/0017615-6,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
06/09/2023,1020.2023/0017705-5,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
06/09/2023,1020.2023/0017708-0,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
11/09/2023,1020.2023/0017786-1,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
11/09/2023,1020.2023/0017831-0,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
15/09/2023,1020.2023/0018406-0,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
22/09/2023,1020.2023/0018935-5,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
22/09/2023,1020.2023/0018968-1,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
25/09/2023,1020.2023/0019015-9,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
02/10/2023,1020.2023/0019557-6,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
02/10/2023,1020.2023/0019563-0,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
04/10/2023,1020.2023/0019655-6,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
04/10/2023,1020.2023/0019657-2,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
04/10/2023,1020.2023/0019660-2,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
04/10/2023,1020.2023/0019665-3,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
